,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:23:01,1381,800,800,12999,136663
11/01/2021 14:54:33,1396,800,800,12999,139998
11/01/2021 17:54:16,1397,800,800,12999,147455
13/01/2021 13:45:30,1375,1100,1100,13900,136996
13/01/2021 14:59:35,1375,1100,1100,13900,135000
13/01/2021 16:03:06,1375,1100,1100,13900,134444
13/01/2021 17:36:30,1375,1100,1100,13900,134444
13/01/2021 18:43:42,1375,1100,1100,13900,134444
13/01/2021 19:57:46,1375,1100,1100,13900,133900
13/01/2021 22:23:08,1347,1100,1100,13900,129000
14/01/2021 00:39:25,1347,1100,1100,13900,129000
14/01/2021 02:40:04,1345,1270,1299,13900,127000
14/01/2021 07:43:36,1345,1270,1299,13900,127000
14/01/2021 13:08:40,1321,1270,1299,13899,127000
14/01/2021 16:19:22,1294,1279,1300,13899,127999
14/01/2021 19:53:24,1294,1269,1300,13899,126997
14/01/2021 23:49:21,1278,1279,1299,13899,127999
15/01/2021 02:46:44,1278,1279,1299,13899,127999
15/01/2021 04:57:37,1278,1279,1299,13899,127999
16/01/2021 04:57:17,1278,999,999,13899,127998
16/01/2021 06:00:17,1278,999,999,13899,127998
16/01/2021 07:02:58,1278,999,999,13899,127998
16/01/2021 08:06:47,1278,999,999,13899,127998
16/01/2021 09:10:30,1278,999,999,13899,127998
16/01/2021 10:14:13,1278,999,999,13899,127998
16/01/2021 11:18:35,1278,950,950,13899,127998
16/01/2021 15:39:45,1262,1000,1000,13899,127998
16/01/2021 16:45:37,1261,1279,1300,13899,127998
