,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:22:55,1416,1000,1360,10000,149999
11/01/2021 14:54:27,1361,1360,1360,14399,149999
11/01/2021 17:54:10,1361,1360,1360,14399,149999
13/01/2021 13:45:22,1442,1199,1199,14399,135996
13/01/2021 14:59:27,1442,1199,1199,14399,135000
13/01/2021 16:03:00,1442,1199,1199,14399,134444
13/01/2021 17:36:23,1442,1199,1199,14399,134444
13/01/2021 18:43:35,1442,1199,1199,14399,134443
13/01/2021 19:57:39,1412,1199,1199,14399,134443
13/01/2021 22:23:01,1354,1199,1199,14399,135000
14/01/2021 00:39:17,1354,1200,1200,14399,135000
14/01/2021 02:39:57,1354,1200,1200,14399,127000
14/01/2021 07:43:28,1352,1270,1360,14399,127000
