,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:23:13,127,125,125,-,-
11/01/2021 02:23:19,127,125,125,-,-
11/01/2021 14:54:44,141,120,125,1200,12000
11/01/2021 17:54:27,141,120,125,1200,12000
13/01/2021 13:45:45,173,165,-,1650,17999
13/01/2021 16:03:21,176,200,-,-,20000
13/01/2021 17:36:46,176,199,-,-,19999
13/01/2021 18:43:58,176,199,-,-,19998
13/01/2021 19:58:03,194,199,-,-,19900
13/01/2021 22:23:24,194,199,-,-,19900
14/01/2021 02:40:19,199,-,-,-,-
14/01/2021 07:43:51,199,-,-,-,-
14/01/2021 13:08:54,596,299,-,-,29999
14/01/2021 16:19:37,213,-,-,-,-
14/01/2021 19:53:38,213,156,-,-,15640
14/01/2021 23:49:35,213,155,200,-,15500
15/01/2021 02:46:58,213,154,200,-,15400
15/01/2021 04:57:52,157,156,200,-,15640
16/01/2021 04:57:31,89,89,200,-,8999
16/01/2021 06:00:31,92,156,200,-,15640
16/01/2021 07:03:12,92,156,200,-,15640
16/01/2021 08:07:02,92,156,200,-,15640
16/01/2021 09:10:44,92,156,200,-,15640
16/01/2021 10:14:28,92,155,200,-,15500
16/01/2021 11:18:49,92,155,200,-,15500
16/01/2021 15:39:59,92,140,200,-,14000
16/01/2021 16:45:52,92,140,200,-,14000
