,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 14:54:53,3608,5000,5000,-,-
11/01/2021 17:54:35,3608,5000,5000,-,-
13/01/2021 13:45:53,3609,4999,-,49999,-
13/01/2021 14:59:53,3609,4999,-,49999,-
13/01/2021 14:59:57,3609,4999,-,49999,-
13/01/2021 16:03:28,3609,4999,-,49999,-
13/01/2021 16:03:33,3609,4999,-,49999,-
13/01/2021 17:36:53,3609,4999,-,49999,-
13/01/2021 17:36:57,3609,4999,-,49999,-
13/01/2021 18:44:05,3609,4999,-,49999,-
13/01/2021 18:44:10,3609,4999,-,49999,-
13/01/2021 19:58:10,3609,4999,-,49999,-
13/01/2021 19:58:15,3609,4999,-,49999,-
13/01/2021 22:23:32,3609,4999,-,49999,-
14/01/2021 00:39:47,3609,4999,8000,49999,-
14/01/2021 00:39:51,3609,4999,8000,49999,-
14/01/2021 02:40:26,3609,4999,8000,49999,-
14/01/2021 07:43:58,3609,4999,8000,49999,-
