,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:23:35,32433,31200,32216,312000,-
11/01/2021 14:55:07,32433,31200,32216,312000,-
11/01/2021 17:54:49,32433,31200,32216,312000,-
13/01/2021 13:46:11,32380,31200,-,312000,-
13/01/2021 15:00:15,32380,31200,-,312000,-
13/01/2021 16:03:51,32380,31200,-,312000,-
13/01/2021 17:37:16,32380,31200,-,312000,-
13/01/2021 18:44:27,32380,30999,-,309998,-
13/01/2021 19:58:36,32380,30999,-,309998,-
13/01/2021 22:23:51,32380,30999,-,309998,-
14/01/2021 00:40:11,32380,30900,-,309000,-
14/01/2021 02:40:44,32380,30900,-,309000,-
14/01/2021 07:44:15,32380,30900,-,309000,-
14/01/2021 13:09:20,32380,30900,31000,309000,-
14/01/2021 16:20:03,32380,30900,31000,309000,-
14/01/2021 19:54:04,32380,30900,31000,309000,-
14/01/2021 23:50:00,32380,29999,29999,309000,-
15/01/2021 02:47:24,32380,29999,29999,309998,-
15/01/2021 04:58:21,32380,29999,29999,309998,-
16/01/2021 04:57:55,32380,19999,19999,309998,-
16/01/2021 06:00:56,32380,19999,19999,309998,-
16/01/2021 07:03:36,32380,19999,19999,309998,-
16/01/2021 08:07:28,32380,19999,19999,309998,-
16/01/2021 09:11:09,32380,19999,19999,309998,-
16/01/2021 10:14:54,32380,19999,19999,309998,-
16/01/2021 11:19:15,32380,19998,19998,309998,-
16/01/2021 15:40:24,32380,19998,19998,309998,-
16/01/2021 16:46:18,32380,19998,19998,309998,-
16/01/2021 18:48:16,32380,19998,19998,309998,-
16/01/2021 19:58:07,32380,19998,19998,309998,-
16/01/2021 22:24:59,32380,19998,19998,309998,-
16/01/2021 23:36:07,32380,19998,19998,309998,-
17/01/2021 01:27:55,32380,19997,19997,309998,-
17/01/2021 02:22:25,32380,19997,19997,309998,-
17/01/2021 03:15:29,32380,19997,19997,309998,-
17/01/2021 04:08:04,32380,19997,19997,309998,-
17/01/2021 05:02:38,32380,19997,19997,309998,-
17/01/2021 05:54:42,32380,19997,19997,309998,-
17/01/2021 06:46:37,32380,19997,19997,309998,-
17/01/2021 07:38:49,32380,19997,19997,309998,-
17/01/2021 09:23:40,32380,19997,19997,309998,-
17/01/2021 10:17:25,32380,19997,19997,309998,-
17/01/2021 12:32:52,32380,19900,19900,309998,-
17/01/2021 13:26:09,32380,19900,19900,309998,-
17/01/2021 14:20:02,32380,19900,19900,309998,-
17/01/2021 15:13:34,32380,19000,19000,309998,-
17/01/2021 16:07:54,32380,19000,19000,309998,-
18/01/2021 14:36:30,32380,17999,17999,309998,-
18/01/2021 15:08:28,32380,17999,17999,309998,-
18/01/2021 15:38:27,32380,17999,17999,309998,-
18/01/2021 16:15:22,32380,17999,17999,309998,-
18/01/2021 16:48:18,32380,17999,17999,309998,-
18/01/2021 17:19:56,32380,17999,17999,309998,-
18/01/2021 17:52:31,32380,17999,17999,309998,-
18/01/2021 17:52:36,32380,17999,17999,309998,-
18/01/2021 18:22:40,32380,17999,17999,309998,-
