,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:25:55,952,549,-,15999,54998
11/01/2021 14:57:28,980,549,1899,15000,54998
11/01/2021 17:57:10,980,549,1899,15000,54998
13/01/2021 13:49:16,1028,549,1800,14999,54998
13/01/2021 15:03:08,1028,549,1800,14999,54996
13/01/2021 16:06:42,1031,549,1800,14999,54996
13/01/2021 17:40:17,1031,549,1800,14999,54996
13/01/2021 18:47:25,1031,549,1800,14999,54996
13/01/2021 20:01:44,1031,549,1800,14999,54996
13/01/2021 22:26:52,1031,549,1800,14999,54996
14/01/2021 00:43:12,1038,549,1800,14999,54996
14/01/2021 02:43:37,1038,549,1800,14999,54996
14/01/2021 07:47:08,1038,549,1800,14999,54996
