,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:25:04,53,9,-,99,4997
11/01/2021 14:56:36,53,9,40,99,4997
11/01/2021 17:56:18,53,9,40,99,4997
13/01/2021 13:48:11,52,49,-,-,4998
13/01/2021 15:02:06,50,49,-,1000,4999
13/01/2021 16:05:41,50,49,-,1000,4999
13/01/2021 17:39:12,50,49,-,1000,4999
13/01/2021 18:46:21,50,49,-,1000,4999
13/01/2021 20:00:37,50,49,-,1000,4999
13/01/2021 22:25:50,50,40,40,1000,4999
14/01/2021 00:42:06,50,39,39,1000,4999
14/01/2021 02:42:35,50,39,39,1000,4999
14/01/2021 07:46:06,52,49,93,1100,4999
