,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:25:47,1399,1000,1000,11850,-
11/01/2021 14:57:19,1398,999,999,11849,-
11/01/2021 17:57:02,1398,1184,-,11849,-
13/01/2021 13:49:27,1398,900,900,9998,-
13/01/2021 13:49:35,1398,900,900,9998,-
13/01/2021 15:03:18,1398,900,900,9998,-
13/01/2021 15:03:26,1398,900,900,9998,-
13/01/2021 16:06:52,1398,900,900,9998,-
13/01/2021 16:07:00,1398,900,900,9998,-
13/01/2021 17:40:28,1398,900,900,9998,-
13/01/2021 17:40:36,1398,900,900,9998,-
13/01/2021 18:47:36,1398,900,900,9998,-
13/01/2021 18:47:44,1398,900,900,9998,-
13/01/2021 20:01:56,1398,900,900,9998,-
13/01/2021 20:02:04,1398,900,900,9998,-
13/01/2021 22:27:03,1398,900,900,9998,-
14/01/2021 00:43:24,1398,900,900,9998,-
14/01/2021 02:43:47,1398,900,900,9998,-
14/01/2021 02:43:55,1398,900,900,9998,-
14/01/2021 07:47:18,1398,900,900,9998,90000
14/01/2021 07:47:26,1398,900,900,9998,90000
14/01/2021 13:12:24,1398,900,900,9998,90000
14/01/2021 13:12:32,1398,900,900,9998,90000
14/01/2021 16:23:13,1398,900,900,9998,90000
14/01/2021 19:57:16,1398,899,899,9998,90000
14/01/2021 19:57:24,1398,899,899,9998,90000
14/01/2021 23:53:11,1393,900,998,9998,90000
14/01/2021 23:53:19,1393,900,998,9998,90000
15/01/2021 02:50:36,1393,900,998,9998,90000
15/01/2021 02:50:44,1393,900,998,9998,90000
15/01/2021 05:01:31,1393,900,998,9998,90000
15/01/2021 05:01:39,1393,900,998,9998,90000
16/01/2021 05:00:50,1240,900,998,9998,90000
16/01/2021 06:03:50,1240,900,998,9998,90000
16/01/2021 07:06:30,1240,900,998,9998,90000
16/01/2021 08:10:30,1240,900,998,9998,90000
16/01/2021 09:14:09,1240,900,998,9998,90000
16/01/2021 10:17:56,1240,900,998,9998,90000
16/01/2021 11:22:13,1240,900,998,9998,90000
16/01/2021 15:43:29,1240,900,998,9998,90000
16/01/2021 16:49:23,1240,900,998,9998,90000
