,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:24:29,9483,19999,19999,-,-
11/01/2021 14:56:01,9483,19998,19998,-,-
11/01/2021 17:55:44,9483,19998,19998,-,-
13/01/2021 13:47:31,9809,9900,9900,-,-
13/01/2021 15:01:30,9809,9899,9899,-,-
13/01/2021 16:05:05,9809,9899,9899,-,-
13/01/2021 17:38:34,9809,9899,9899,-,-
13/01/2021 18:45:44,9809,-,-,-,-
13/01/2021 19:59:58,9809,-,-,-,-
13/01/2021 22:25:10,9809,9896,9896,-,-
14/01/2021 00:41:27,9809,9896,9896,-,-
14/01/2021 02:41:59,9809,9896,9896,-,-
14/01/2021 07:45:30,9809,9896,9896,-,-
