,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:26:00,4715,4669,4999,48499,466999
11/01/2021 14:57:33,4815,4998,4998,63994,588887
11/01/2021 17:57:15,5148,4995,4995,63992,588887
13/01/2021 13:49:42,5791,5695,5695,59999,577999
13/01/2021 15:03:32,5825,5695,5695,59998,577999
13/01/2021 16:07:07,5825,5695,5695,59998,575000
13/01/2021 17:40:43,5825,5750,-,59998,575000
13/01/2021 18:47:51,5789,5800,-,59998,580000
13/01/2021 20:02:11,5789,5800,-,59998,580000
13/01/2021 22:27:10,6109,5999,-,59998,639998
14/01/2021 00:43:32,6109,5693,5693,59997,639995
14/01/2021 02:44:02,6109,5693,5693,59996,639995
14/01/2021 07:47:33,6104,5693,5693,59996,630000
