,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:24:17,8407,7500,7500,79999,-
11/01/2021 14:55:49,8407,7500,7500,79998,-
11/01/2021 17:55:32,8407,7499,7499,79995,-
13/01/2021 13:47:16,8398,9990,9990,799998,-
13/01/2021 15:01:16,8399,9990,9990,799998,-
13/01/2021 16:04:51,8399,9990,9990,799998,-
13/01/2021 17:38:19,8399,9000,9000,799998,-
13/01/2021 18:45:30,8399,9000,9000,799998,-
13/01/2021 19:59:42,8399,8999,8999,799998,-
13/01/2021 22:24:55,8459,79995,79995,799998,-
14/01/2021 00:41:11,11849,79999,79999,799999,-
14/01/2021 02:41:45,11849,17000,79999,700000,1700000
14/01/2021 07:45:16,11849,17000,79999,700000,1700000
