,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:25:12,1478,1500,2400,15000,175000
11/01/2021 14:56:45,1478,1500,2400,15000,170000
11/01/2021 17:56:27,1478,1500,1500,15000,170000
13/01/2021 13:48:31,1453,1349,1349,13999,144990
13/01/2021 15:02:24,1453,1349,1349,13999,144990
13/01/2021 16:05:59,1453,1349,1349,13999,144990
13/01/2021 17:39:31,1453,1349,1349,13999,144990
13/01/2021 18:46:40,1450,1399,1500,13999,144990
13/01/2021 20:00:57,1450,1399,1500,13999,144990
13/01/2021 22:26:05,1447,1370,1500,13700,144989
14/01/2021 00:42:26,1447,1370,1500,13700,144989
14/01/2021 02:42:53,1447,1370,1500,13700,144989
14/01/2021 07:46:25,1447,1370,1500,13700,144989
