,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:24:58,169,100,100,1499,39995
11/01/2021 14:56:30,169,100,100,1499,39995
11/01/2021 17:56:12,169,100,100,1499,37999
13/01/2021 13:48:15,372,150,150,-,40000
13/01/2021 15:02:10,372,150,150,5998,40000
13/01/2021 16:05:45,372,150,150,5998,40000
13/01/2021 17:39:16,372,150,150,5998,40000
13/01/2021 18:46:25,372,150,150,5998,40000
13/01/2021 20:00:41,372,150,150,5998,40000
13/01/2021 22:25:54,372,150,150,5998,40000
14/01/2021 00:42:10,372,150,150,5998,40000
14/01/2021 02:42:39,372,150,150,5998,40000
14/01/2021 07:46:10,372,150,150,5998,40000
14/01/2021 13:11:16,372,400,-,5998,40000
14/01/2021 16:22:00,392,400,-,5999,40000
14/01/2021 19:55:59,392,400,-,5999,40000
14/01/2021 23:51:53,392,400,-,5999,40000
15/01/2021 02:49:18,392,400,-,5999,40000
15/01/2021 05:00:17,392,400,-,5999,40000
16/01/2021 04:59:49,392,300,300,4000,39000
16/01/2021 06:02:51,392,300,300,4000,39000
16/01/2021 07:05:31,392,300,300,4000,39000
16/01/2021 08:09:28,392,300,300,4000,39000
16/01/2021 09:13:08,392,300,300,4000,39000
16/01/2021 10:16:53,392,299,299,4000,39000
16/01/2021 11:21:12,392,299,299,4000,39000
16/01/2021 15:42:26,392,299,299,4000,37000
16/01/2021 16:48:20,392,299,299,4000,37000
