,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:24:38,367,339,500,5000,33999
11/01/2021 14:56:10,367,290,399,3500,29000
11/01/2021 17:55:52,367,100,100,3500,28900
13/01/2021 13:47:43,321,100,100,3400,25996
13/01/2021 15:01:41,321,100,100,3400,24999
13/01/2021 16:05:16,321,100,100,3400,24999
13/01/2021 17:38:45,321,100,100,3400,24900
13/01/2021 18:45:55,321,99,99,3400,24000
13/01/2021 20:00:09,258,99,99,3400,25994
13/01/2021 22:25:23,259,99,99,1999,25996
14/01/2021 00:41:39,259,99,99,1999,23999
14/01/2021 02:42:10,259,99,99,1999,23998
14/01/2021 07:45:41,260,239,399,3500,23998
14/01/2021 13:10:45,260,99,399,999,23899
14/01/2021 16:21:30,260,99,399,999,20000
14/01/2021 19:55:28,243,99,399,999,25395
14/01/2021 23:51:23,237,253,399,3499,25395
15/01/2021 02:48:48,237,253,399,3499,25395
15/01/2021 04:59:47,237,253,399,3499,25395
16/01/2021 04:59:21,239,180,180,3499,25400
16/01/2021 06:02:23,239,180,180,3499,25400
16/01/2021 07:05:03,239,180,180,3499,25400
16/01/2021 08:08:58,239,180,180,3499,25400
16/01/2021 09:12:38,247,180,180,3499,27900
16/01/2021 10:16:23,264,180,180,3499,27999
16/01/2021 11:20:44,264,180,180,3499,27999
16/01/2021 15:41:56,273,280,399,3498,28000
16/01/2021 16:47:50,273,280,399,3498,28000
