,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:36:52,1157,1000,1199,11499,100000
11/01/2021 02:46:28,1157,1000,1199,11499,100000
11/01/2021 15:08:19,1037,993,1200,9999,99398
11/01/2021 15:17:45,1037,993,1200,9999,99300
11/01/2021 18:08:15,983,798,1200,7989,94999
11/01/2021 18:17:46,983,798,1200,7989,94999
13/01/2021 14:03:21,690,729,998,7299,74993
13/01/2021 14:15:09,690,729,998,7299,74994
13/01/2021 15:17:09,690,689,998,6899,74994
13/01/2021 16:20:50,735,700,998,7000,75000
13/01/2021 16:32:57,735,700,998,7000,75000
13/01/2021 17:55:01,735,690,998,6900,74500
13/01/2021 18:07:39,735,689,998,6890,71999
13/01/2021 19:14:08,732,700,1000,7299,70000
13/01/2021 20:17:22,722,700,1000,7299,70000
13/01/2021 20:28:00,722,700,1000,7200,70000
13/01/2021 22:42:14,703,450,450,7150,70000
13/01/2021 22:51:27,703,450,450,7150,65000
14/01/2021 00:57:29,686,699,950,7000,69998
14/01/2021 01:10:02,686,699,950,7000,69998
14/01/2021 02:57:42,686,500,950,5000,69998
14/01/2021 03:09:29,686,500,950,5000,69998
14/01/2021 08:01:15,699,699,950,7280,69998
14/01/2021 08:13:03,699,699,950,7280,69998
