,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:37:49,283,150,249,1500,-
11/01/2021 02:47:25,283,150,249,1500,-
11/01/2021 15:09:08,283,150,249,1500,-
11/01/2021 15:18:34,283,150,249,1500,-
11/01/2021 18:09:08,283,150,249,1500,-
11/01/2021 18:18:38,283,150,249,1500,-
13/01/2021 14:04:24,282,200,200,-,-
13/01/2021 14:16:13,282,200,200,-,-
13/01/2021 15:18:13,282,200,200,-,-
13/01/2021 16:21:52,282,200,200,-,-
13/01/2021 16:33:59,282,200,200,-,-
13/01/2021 17:56:06,282,200,200,-,-
13/01/2021 18:08:43,282,200,200,-,-
13/01/2021 19:02:50,282,200,200,-,-
13/01/2021 19:15:11,282,200,200,-,-
13/01/2021 20:18:30,282,200,200,-,-
13/01/2021 20:29:04,282,200,200,-,-
13/01/2021 22:43:22,282,200,200,-,30000
13/01/2021 22:52:36,282,200,200,-,30000
14/01/2021 00:58:34,282,200,200,-,30000
14/01/2021 01:11:08,282,200,200,-,30000
14/01/2021 02:58:43,282,200,200,-,30000
14/01/2021 03:10:29,282,200,200,-,30000
14/01/2021 08:02:12,282,200,200,-,30000
14/01/2021 08:14:02,282,200,200,-,30000
