,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:27:36,114526,130000,130000,1479997,-
11/01/2021 02:30:38,114526,130000,130000,1479997,-
11/01/2021 14:59:08,115931,129000,129000,1479998,-
11/01/2021 15:02:04,115931,129000,129000,1479998,-
11/01/2021 17:58:48,116053,129987,129987,1479998,-
11/01/2021 18:01:52,116053,129987,129987,1479998,-
13/01/2021 13:51:35,115415,111992,111992,1479998,-
13/01/2021 13:55:14,115415,111992,111992,1479998,-
13/01/2021 15:05:24,115399,111989,111989,1479998,-
13/01/2021 15:09:04,115399,111989,111989,1479998,-
13/01/2021 16:08:59,115399,147999,-,1479998,-
13/01/2021 16:12:40,115399,147999,-,1479998,-
13/01/2021 17:42:40,115369,111982,111982,1479998,-
13/01/2021 17:46:30,115369,111982,111982,1479998,-
13/01/2021 18:49:45,115308,111982,111982,1479998,-
13/01/2021 18:53:31,115308,111982,111982,1479998,-
13/01/2021 20:04:17,115234,147999,-,1479998,-
13/01/2021 20:08:30,115234,147999,-,1479998,-
13/01/2021 22:29:14,115121,109999,109999,1479998,-
13/01/2021 22:33:17,115121,109999,109999,1479998,-
14/01/2021 00:44:30,115030,109995,109995,1479998,-
14/01/2021 00:48:33,115030,109995,109995,1479998,-
14/01/2021 02:45:57,114874,109999,109999,1479998,-
14/01/2021 02:49:43,114874,109999,109999,1479998,-
14/01/2021 07:49:28,114830,109999,109999,1479998,-
14/01/2021 07:53:16,114830,109999,109999,1479998,-
14/01/2021 13:14:34,114681,109888,109888,1479998,-
14/01/2021 13:18:25,114659,109990,109990,1479998,-
14/01/2021 16:25:22,114364,104997,104997,1479998,-
14/01/2021 16:29:18,114322,104998,104998,1479998,-
14/01/2021 19:59:34,113749,104000,104000,1479998,-
14/01/2021 20:03:43,113749,104000,104000,1479998,-
14/01/2021 23:55:24,112847,104999,104999,1479998,-
14/01/2021 23:59:24,112807,104999,104999,1479998,-
15/01/2021 02:52:50,112693,103999,103999,1479998,-
15/01/2021 02:56:42,112693,103999,103999,1479998,-
15/01/2021 05:03:47,112693,103700,103700,1479998,-
15/01/2021 05:07:35,112693,103700,103700,1479998,-
16/01/2021 05:03:08,110778,103100,103100,1455551,-
16/01/2021 05:06:47,110778,103100,103100,1455551,-
16/01/2021 06:06:02,110778,103100,103100,1455551,-
16/01/2021 06:09:40,110778,103099,103099,1455550,-
16/01/2021 07:08:43,110743,103099,103099,1455550,-
16/01/2021 07:12:21,110743,103099,103099,1455550,-
16/01/2021 08:12:43,110743,103099,103099,1455550,-
16/01/2021 08:16:24,110743,103099,103099,1455550,-
16/01/2021 09:16:27,110743,103098,103098,1455550,-
16/01/2021 09:20:06,110743,103098,103098,1455550,-
16/01/2021 10:20:12,110743,103098,103098,1455550,-
16/01/2021 10:23:53,110743,103098,103098,1455550,-
16/01/2021 15:45:44,109993,99998,99998,1455550,-
16/01/2021 15:49:22,109993,99998,99998,1455550,-
16/01/2021 16:51:40,109815,145555,-,1455550,-
16/01/2021 16:55:21,109815,145555,-,1455550,-
16/01/2021 18:53:45,109500,97990,97990,1455550,-
16/01/2021 18:57:40,109500,97990,97990,1455550,-
16/01/2021 20:03:45,108755,99999,99999,1455550,-
16/01/2021 20:07:47,108755,99999,99999,1455550,-
16/01/2021 22:30:44,108436,103099,103099,1444051,-
16/01/2021 22:34:47,108436,103099,103099,1444051,-
16/01/2021 23:41:51,108364,103098,103098,1444051,-
16/01/2021 23:45:45,108341,103098,103098,1444051,-
17/01/2021 01:33:34,108269,103000,103000,1444051,-
17/01/2021 01:37:18,108269,103000,103000,1444051,-
17/01/2021 02:27:49,108222,103000,103000,1444051,-
17/01/2021 02:31:21,108222,103000,103000,1444051,-
17/01/2021 03:20:38,108222,103000,103000,1444051,-
17/01/2021 03:24:09,108222,102999,102999,1444051,-
17/01/2021 04:13:21,108222,102999,102999,1444051,-
17/01/2021 04:17:03,108222,102999,102999,1444051,-
17/01/2021 05:07:48,108222,102999,102999,1444051,-
17/01/2021 05:11:25,108198,103000,103000,1444051,-
17/01/2021 05:59:49,108198,102999,102999,1444051,-
17/01/2021 06:03:19,108198,102999,102999,1444051,-
17/01/2021 06:51:45,108152,102999,102999,1444051,-
17/01/2021 06:55:19,108152,102999,102999,1444051,-
17/01/2021 07:43:58,108152,102999,102999,1444051,-
17/01/2021 07:47:28,108152,102999,102999,1444051,-
17/01/2021 09:28:51,108129,102998,102998,1444051,-
17/01/2021 09:32:22,108129,102998,102998,1444051,-
17/01/2021 10:22:54,108129,102998,102998,1444051,-
17/01/2021 10:26:33,108129,102998,102998,1444051,-
17/01/2021 12:38:11,108129,101999,101999,1444051,-
17/01/2021 12:41:47,108129,101999,101999,1444051,-
17/01/2021 13:31:39,108074,102000,102000,1444051,-
17/01/2021 13:35:26,108074,102000,102000,1444051,-
17/01/2021 14:25:09,107966,102000,102000,1444051,-
17/01/2021 14:28:52,107966,102000,102000,1444051,-
17/01/2021 15:18:58,107912,101999,101999,1444051,-
17/01/2021 15:22:44,107912,101999,101999,1444051,-
17/01/2021 16:13:16,107807,102999,102999,1444051,-
17/01/2021 16:17:09,107807,102998,102998,1444051,-
18/01/2021 15:41:34,106583,102695,102695,1444051,-
18/01/2021 16:21:38,106583,102694,102694,1444051,-
18/01/2021 16:51:16,106565,102694,102694,1444051,-
18/01/2021 18:25:32,106462,102695,102695,1444051,-
18/01/2021 18:28:47,106462,102694,102694,1444051,-
