,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:38:15,268299,999998,999998,-,-
11/01/2021 02:47:51,268299,999998,999998,-,-
11/01/2021 18:09:39,275408,350000,350000,-,-
11/01/2021 18:19:09,275408,350000,350000,-,-
13/01/2021 14:04:57,281150,299999,299999,-,-
13/01/2021 14:16:46,281150,299999,299999,-,-
13/01/2021 15:18:46,281150,299999,299999,-,-
13/01/2021 16:22:25,281150,299999,299999,-,-
13/01/2021 16:34:32,281150,299999,299999,-,-
13/01/2021 17:56:40,281150,299999,299999,-,-
13/01/2021 18:09:17,281150,299999,299999,-,-
13/01/2021 19:03:24,281150,299999,299999,-,-
13/01/2021 19:15:44,281150,299999,299999,-,-
13/01/2021 20:19:06,281150,280000,280000,-,-
13/01/2021 20:29:37,281150,279999,279999,-,-
13/01/2021 22:43:57,281150,279998,279998,-,-
13/01/2021 22:53:11,281150,279998,279998,-,-
14/01/2021 00:59:08,281299,899999,899999,-,-
14/01/2021 01:11:41,281299,899999,899999,-,-
14/01/2021 02:59:15,281299,899999,899999,-,-
14/01/2021 03:11:01,281299,899999,899999,-,-
14/01/2021 08:02:47,281299,899999,899999,-,-
14/01/2021 08:14:37,281299,899999,899999,-,-
