,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:22:11,260,280,-,2800,-
11/01/2021 14:53:42,260,280,-,2800,-
11/01/2021 17:53:25,260,280,-,2800,-
13/01/2021 13:44:24,260,260,-,2600,-
13/01/2021 14:58:31,260,260,-,2600,-
13/01/2021 16:02:07,260,260,-,2600,-
13/01/2021 17:35:27,260,260,-,2600,-
13/01/2021 18:42:42,260,260,-,2600,-
13/01/2021 19:56:42,260,260,-,2600,-
13/01/2021 22:22:01,260,260,-,2600,-
14/01/2021 00:38:18,260,260,-,2600,-
14/01/2021 02:39:02,260,260,-,2600,-
14/01/2021 07:42:31,260,260,-,2600,-
14/01/2021 13:07:40,260,260,-,2600,-
14/01/2021 16:18:18,260,275,-,2750,-
14/01/2021 19:52:19,260,275,-,2750,-
14/01/2021 23:48:16,260,274,-,2749,-
15/01/2021 02:45:38,260,274,-,2749,-
15/01/2021 04:56:34,260,274,-,2749,-
16/01/2021 04:56:19,260,260,300,2600,-
16/01/2021 05:59:20,260,260,300,2600,-
16/01/2021 07:02:00,260,260,300,2600,-
16/01/2021 08:05:47,260,260,300,2600,-
16/01/2021 09:09:32,260,260,300,2600,-
16/01/2021 10:13:13,260,260,300,2600,-
16/01/2021 11:17:34,260,259,300,2599,-
16/01/2021 19:56:07,263,200,-,-,20000
16/01/2021 21:06:23,263,200,-,-,20000
16/01/2021 22:23:04,263,200,-,-,20000
16/01/2021 23:34:08,263,200,-,-,20000
17/01/2021 01:26:00,263,200,-,-,20000
17/01/2021 02:20:34,263,200,-,-,20000
17/01/2021 03:13:42,263,200,-,-,20000
17/01/2021 04:06:18,263,200,-,-,20000
17/01/2021 05:00:52,263,200,-,-,20000
17/01/2021 05:52:57,263,200,-,-,20000
17/01/2021 06:44:52,263,200,-,-,20000
17/01/2021 07:36:59,263,200,-,-,20000
17/01/2021 09:21:55,263,200,-,-,20000
17/01/2021 10:15:32,263,200,-,-,20000
17/01/2021 12:30:59,263,200,-,-,20000
17/01/2021 13:24:22,263,200,-,-,20000
17/01/2021 14:18:14,263,200,-,-,20000
17/01/2021 15:11:42,263,200,-,-,20000
17/01/2021 16:06:02,263,200,-,-,20000
18/01/2021 14:02:33,263,200,-,2300,20000
18/01/2021 15:36:51,263,200,-,2300,20000
18/01/2021 15:37:00,263,200,-,2300,20000
18/01/2021 16:14:13,263,200,-,2300,20000
18/01/2021 16:46:48,263,200,-,2300,20000
18/01/2021 16:46:53,263,200,-,2300,20000
18/01/2021 17:18:31,263,200,-,2300,20000
18/01/2021 17:18:40,263,200,-,2300,20000
18/01/2021 17:51:10,263,200,-,2300,20000
18/01/2021 17:51:14,263,200,-,2300,20000
18/01/2021 18:21:02,263,200,-,2300,20000
18/01/2021 18:21:11,263,200,-,2300,20000
