,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:03:27,2048,1800,1800,19999,-
11/01/2021 14:34:57,2048,1800,1800,19999,-
11/01/2021 17:34:41,2047,1999,-,19999,-
13/01/2021 11:58:18,2054,1900,1900,19999,-
13/01/2021 12:45:47,2054,1900,1900,19999,-
13/01/2021 13:23:56,2054,1900,1900,19999,-
13/01/2021 14:34:58,2054,1900,1900,19999,-
13/01/2021 15:38:18,2054,1900,1900,19999,-
13/01/2021 17:10:46,2054,1900,1900,19999,-
13/01/2021 18:18:01,2054,1900,1900,19999,-
13/01/2021 19:31:49,2054,1900,1900,19999,-
13/01/2021 21:57:13,2054,1900,1900,19999,-
14/01/2021 00:13:54,2054,1900,1900,19999,-
14/01/2021 02:15:13,2054,1900,1900,19999,-
14/01/2021 07:18:53,2054,1500,1500,19999,-
14/01/2021 12:44:07,2054,1500,1500,19999,-
14/01/2021 15:53:42,2054,1500,1500,19999,-
14/01/2021 19:27:46,2054,1499,1499,19999,-
14/01/2021 23:23:21,2054,1499,1499,19999,-
15/01/2021 02:21:12,2054,1499,1499,19999,-
15/01/2021 04:31:43,2054,1499,1499,19999,-
16/01/2021 04:32:18,2054,900,1499,9000,-
16/01/2021 05:35:32,2051,900,1499,9000,-
16/01/2021 06:38:15,2051,900,1499,9000,-
16/01/2021 07:41:31,2051,900,1499,9000,-
16/01/2021 08:45:20,2051,900,1499,9000,-
16/01/2021 09:48:46,2051,900,1499,9000,-
16/01/2021 10:53:10,2051,900,1499,9000,-
16/01/2021 15:12:40,2051,900,1499,9000,-
16/01/2021 16:19:25,2051,900,1499,9000,-
16/01/2021 18:20:09,2051,900,1499,9000,-
16/01/2021 19:29:13,2051,900,1499,9000,-
16/01/2021 20:39:36,2051,900,1499,9000,-
16/01/2021 21:55:58,2051,900,1499,9000,-
16/01/2021 23:07:29,2051,900,1499,9000,-
17/01/2021 01:00:28,2051,900,1499,9000,-
17/01/2021 01:55:12,2051,900,1499,9000,-
17/01/2021 02:48:40,2051,900,1499,9000,-
17/01/2021 03:41:44,2051,900,1499,9000,-
17/01/2021 04:35:06,2051,900,1499,9000,-
17/01/2021 05:28:46,2051,900,1499,9000,-
17/01/2021 06:20:18,2051,900,1499,9000,-
17/01/2021 07:12:21,2051,900,1499,9000,-
17/01/2021 08:57:21,2051,900,1499,9000,-
17/01/2021 09:49:58,2051,900,1499,9000,-
17/01/2021 12:05:30,2051,900,-,9000,-
17/01/2021 12:59:12,2051,900,-,9000,-
17/01/2021 13:53:06,2051,900,-,9000,-
17/01/2021 14:46:09,2051,900,-,9000,-
17/01/2021 15:40:39,2051,900,-,9000,-
18/01/2021 13:48:01,2051,899,1000,8999,-
18/01/2021 14:16:22,2051,899,1000,8999,-
18/01/2021 14:51:38,2051,899,1000,8999,-
18/01/2021 15:53:43,2051,899,1000,8999,-
18/01/2021 16:31:18,2051,899,1000,8999,-
18/01/2021 17:02:03,2051,850,1000,8999,85000
18/01/2021 17:33:08,2051,850,1000,8999,85000
18/01/2021 18:04:17,2051,850,1000,8999,85000
