,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:08:15,13017,12000,15995,124999,1200000
11/01/2021 14:39:36,12938,12000,14995,127499,1200000
11/01/2021 17:39:22,12930,12000,15995,127500,1200000
13/01/2021 19:38:16,12894,12000,13296,129000,1200000
14/01/2021 12:50:00,12893,12000,-,129000,1200000
14/01/2021 15:59:41,12893,12000,-,129000,1200000
14/01/2021 19:33:53,12893,12000,-,128999,1200000
14/01/2021 23:29:32,12899,12000,13296,128999,1200000
15/01/2021 02:27:09,12952,12000,23998,128998,1200000
15/01/2021 04:37:48,12952,12000,23998,128998,1200000
16/01/2021 04:38:13,13040,11499,-,127998,1149999
16/01/2021 05:41:16,13040,11499,-,127998,1149999
16/01/2021 06:44:03,13040,11499,-,127998,1149999
16/01/2021 07:47:18,13040,11499,-,127998,1149999
16/01/2021 08:51:18,13040,11499,-,127998,1149999
16/01/2021 09:54:33,13040,11499,-,127450,1149999
16/01/2021 10:58:57,13040,11499,-,127450,1149999
16/01/2021 10:59:05,13040,11499,-,127450,1149999
16/01/2021 15:18:50,13040,11499,-,125000,1149999
16/01/2021 16:25:23,13040,11499,-,125000,1149999
16/01/2021 18:26:33,13040,11499,-,125000,1149999
16/01/2021 19:35:35,13040,11499,-,125000,1149999
16/01/2021 20:45:58,12973,11499,23000,125000,1149999
16/01/2021 22:02:28,12973,11499,23000,125000,1149999
16/01/2021 23:13:57,12973,11499,23000,125000,1149999
17/01/2021 01:06:46,12973,11499,23000,125000,1149999
17/01/2021 02:01:23,12973,10000,22999,100000,1149999
17/01/2021 02:54:48,12973,10000,22999,100000,1149999
17/01/2021 03:47:37,12973,10000,22999,100000,1149999
17/01/2021 04:41:19,12973,10000,22999,100000,1149999
17/01/2021 05:34:41,12973,10000,22999,100000,1149999
17/01/2021 06:26:06,12973,10000,22999,100000,1149999
17/01/2021 07:18:24,12973,10000,22999,100000,1149999
17/01/2021 09:03:11,12973,10000,22999,100000,1149999
17/01/2021 09:55:51,12973,10000,22999,100000,1149999
17/01/2021 12:11:41,12973,10000,22998,100000,1149999
17/01/2021 13:05:10,12973,9000,22998,90000,1149999
17/01/2021 13:59:01,12973,9000,22998,90000,1149999
17/01/2021 14:52:04,12973,9000,22998,90000,1149999
17/01/2021 15:46:47,12638,11499,22998,125000,1149999
18/01/2021 14:21:10,12756,11499,20000,115000,1149999
18/01/2021 14:55:18,12756,11499,20000,115000,1149999
18/01/2021 15:24:16,12756,11499,20000,115000,1149999
18/01/2021 15:58:07,12756,11499,20000,115000,1149999
18/01/2021 16:35:11,12756,11499,20000,115000,1149999
18/01/2021 17:05:45,12756,11499,19999,114999,1149999
