,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:07:37,10158,1000,1000,-,-
11/01/2021 14:38:59,10158,1000,1000,-,-
11/01/2021 17:38:44,10158,1000,1000,-,-
13/01/2021 12:03:45,10158,999,999,-,-
13/01/2021 12:51:12,10158,999,999,-,-
13/01/2021 13:29:26,10158,999,999,-,-
13/01/2021 14:40:12,10158,999,999,-,-
13/01/2021 15:43:32,10158,999,999,-,-
13/01/2021 17:15:53,10158,999,999,-,-
13/01/2021 18:23:32,10158,999,999,-,-
13/01/2021 19:37:23,10158,999,999,-,-
14/01/2021 00:18:58,10158,999,999,-,-
14/01/2021 02:20:25,10158,999,999,-,-
14/01/2021 07:24:11,10158,999,999,-,-
