,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:07:26,1697,1695,1695,17490,170989
11/01/2021 14:38:47,1697,1680,1695,17100,168000
11/01/2021 17:38:32,1697,1669,1695,17099,166999
13/01/2021 12:03:30,1704,1666,1698,16800,166666
13/01/2021 12:50:57,1704,1666,1698,16800,166666
13/01/2021 13:29:11,1704,1660,1698,16800,166000
13/01/2021 14:39:58,1704,1659,1698,16800,165999
13/01/2021 15:43:18,1704,1640,1698,16800,164000
13/01/2021 18:23:17,1704,1500,1698,15000,164000
13/01/2021 19:37:08,1671,1500,1698,15000,166000
14/01/2021 00:18:42,1671,999,1600,9999,165998
14/01/2021 02:20:10,1671,999,1600,9999,165998
14/01/2021 07:23:56,1623,1659,1750,17099,165999
