,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:07:32,1029,920,999,9200,104000
11/01/2021 14:38:53,1017,915,1398,9150,103990
11/01/2021 17:38:38,965,850,1200,9150,85000
13/01/2021 12:03:38,965,845,1200,8450,99998
13/01/2021 12:51:05,965,799,1200,7990,99998
13/01/2021 13:29:19,965,799,1200,7990,99998
13/01/2021 14:40:05,957,799,1200,7990,99998
13/01/2021 15:43:25,970,799,1200,7990,99999
13/01/2021 17:15:46,990,799,1200,7990,99999
13/01/2021 18:23:25,990,799,1200,7990,99999
13/01/2021 19:37:16,990,799,1200,7990,99999
14/01/2021 00:18:51,990,699,1200,6990,99999
14/01/2021 02:20:18,994,699,1200,6990,99999
14/01/2021 07:24:04,960,795,1200,7950,99999
