,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:29:24,16368,12000,17500,173999,1200000
11/01/2021 02:32:27,16368,12000,17500,173999,1200000
11/01/2021 15:00:49,16393,12000,17500,173999,1200000
11/01/2021 15:03:46,16393,12000,17500,173999,1200000
11/01/2021 18:00:40,16398,12000,17500,173999,1200000
11/01/2021 18:03:44,16398,12000,17500,173999,1200000
13/01/2021 13:53:49,16410,12000,20000,-,1200000
13/01/2021 13:57:29,16410,12000,20000,-,1200000
13/01/2021 15:07:38,16410,12000,20000,-,1200000
13/01/2021 15:11:18,16410,12000,20000,-,1200000
13/01/2021 16:11:14,16426,12000,20000,-,1200000
13/01/2021 16:14:55,16426,12000,20000,-,1200000
13/01/2021 17:45:01,16426,12000,20000,-,1200000
13/01/2021 17:48:52,16426,12000,20000,-,1200000
13/01/2021 18:52:03,16426,12000,20000,-,1200000
13/01/2021 18:55:51,16426,12000,20000,-,1200000
13/01/2021 20:06:51,16426,12000,20000,-,1200000
13/01/2021 20:11:03,16426,12000,20000,-,1200000
13/01/2021 22:31:47,16442,12000,-,-,1200000
13/01/2021 22:35:49,16442,12000,-,-,1200000
14/01/2021 00:46:56,16442,12000,15000,-,1200000
14/01/2021 00:51:05,16442,12000,15000,-,1200000
14/01/2021 02:48:15,16442,12000,15000,-,1200000
14/01/2021 02:52:01,16442,12000,15000,-,1200000
14/01/2021 07:51:47,16442,12000,15000,-,1200000
14/01/2021 07:55:36,16442,12000,15000,-,1200000
