,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:56:45,303,350,400,3899,35000
11/01/2021 15:26:30,312,129,300,2990,12999
11/01/2021 18:26:37,141,140,300,2990,14000
14/01/2021 02:12:09,173,160,230,1999,16000
14/01/2021 07:15:59,173,140,230,1999,14000
14/01/2021 12:41:04,140,130,230,1999,13000
14/01/2021 14:43:05,133,100,200,1999,10000
14/01/2021 15:50:32,110,100,200,1999,10000
14/01/2021 19:24:36,101,99,200,998,9998
14/01/2021 23:19:53,99,99,100,998,9999
15/01/2021 02:17:52,99,99,100,998,13000
15/01/2021 04:28:19,99,99,100,998,12000
17/01/2021 01:37:08,172,140,239,1400,17400
17/01/2021 02:38:50,172,140,239,1400,17400
17/01/2021 05:48:23,174,140,239,1400,17500
17/01/2021 06:58:37,174,140,239,1400,17500
17/01/2021 09:36:57,174,100,239,1000,16999
17/01/2021 11:21:02,174,100,239,1000,16999
17/01/2021 12:59:05,161,29,29,1400,17000
17/01/2021 14:38:21,159,29,29,1400,17000
17/01/2021 16:07:23,13,29,29,1400,17000
17/01/2021 18:27:18,184,133,-,1339,16999
18/01/2021 14:29:41,140,139,-,1450,13999
18/01/2021 15:30:41,140,139,-,1450,13995
18/01/2021 17:00:28,140,130,-,1989,13000
