,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:57:06,6903,6999,11000,75555,699999
11/01/2021 15:26:51,7087,6999,14999,75555,699999
11/01/2021 18:26:58,7087,6999,14999,75555,699999
14/01/2021 02:12:36,6635,6199,9998,61999,680000
14/01/2021 07:16:26,6630,6199,9998,61999,680000
14/01/2021 12:41:30,6612,6199,9998,61999,680000
14/01/2021 14:43:32,6612,6199,9998,61999,680000
14/01/2021 15:51:00,6612,6199,9998,61999,680000
14/01/2021 19:25:04,6590,6099,6499,60995,680000
14/01/2021 23:20:24,6589,6099,9998,60995,680000
15/01/2021 02:18:19,6504,5999,-,59999,680000
15/01/2021 04:28:47,6482,6100,-,61000,680000
17/01/2021 01:37:37,6033,5499,-,61999,549999
17/01/2021 02:39:18,6033,5499,-,61999,549999
17/01/2021 05:48:53,6033,5499,-,61999,549999
17/01/2021 06:59:06,6033,5499,-,61999,549999
17/01/2021 09:37:27,6033,5499,-,61999,549999
17/01/2021 11:21:33,6033,5499,-,61999,549999
17/01/2021 12:59:35,6036,5499,-,61999,549999
17/01/2021 14:38:51,6036,5499,7554,61999,549999
17/01/2021 16:07:53,6050,5499,7555,61999,549999
17/01/2021 18:27:49,6181,5499,-,61999,549999
18/01/2021 14:30:08,6055,5500,8000,59999,550000
18/01/2021 15:31:08,6053,5500,8000,-,550000
18/01/2021 17:00:54,6053,5500,8000,-,550000
