,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:56:55,899,499,1875,8998,49999
11/01/2021 15:26:41,572,379,-,8999,37999
11/01/2021 18:26:47,572,375,-,8999,37500
14/01/2021 02:12:19,276,299,599,5989,29991
14/01/2021 07:16:09,276,299,599,5989,29991
14/01/2021 12:41:14,280,299,500,5989,29950
14/01/2021 14:43:15,280,299,500,5989,29950
14/01/2021 15:50:43,280,299,500,5989,29950
14/01/2021 19:24:47,295,299,500,5990,29988
14/01/2021 23:20:05,302,299,1899,5996,29995
15/01/2021 02:18:02,309,299,1899,5998,29990
15/01/2021 04:28:30,309,299,1899,5998,29990
17/01/2021 01:37:18,351,299,1899,4998,29994
17/01/2021 02:39:01,351,299,1899,4998,29993
17/01/2021 05:48:34,351,299,1899,4998,29993
17/01/2021 06:58:48,351,299,1899,4998,29993
17/01/2021 09:37:09,351,299,1899,4998,29993
17/01/2021 11:21:14,357,299,1899,4998,29993
17/01/2021 12:59:17,339,299,1899,4998,29993
17/01/2021 14:38:32,346,299,1899,4998,29993
17/01/2021 16:07:34,346,299,1899,4998,29992
17/01/2021 18:27:30,359,298,1899,4999,29800
18/01/2021 14:29:51,364,285,1900,2900,28500
18/01/2021 15:30:51,364,285,1900,2900,28500
18/01/2021 17:00:38,304,290,1900,2900,29000
