,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:57:01,8412,10000,10000,-,-
11/01/2021 15:26:46,8440,8499,8499,-,-
11/01/2021 18:26:52,8440,8499,8499,-,-
14/01/2021 02:12:29,8666,7999,7999,95000,-
14/01/2021 07:16:19,8666,7999,7999,95000,-
14/01/2021 12:41:24,8666,7999,7999,95000,-
14/01/2021 14:43:25,8666,7999,7999,95000,-
14/01/2021 15:50:53,8666,7999,7999,95000,-
14/01/2021 19:24:57,8666,7999,7999,95000,-
14/01/2021 23:20:16,8644,9500,10000,95000,-
15/01/2021 02:18:12,8716,9550,10000,95500,-
15/01/2021 04:28:40,8716,9550,10000,95500,-
