,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:17:24,11893,5199,5199,54999,-
11/01/2021 14:48:39,11893,5199,5199,54999,-
11/01/2021 14:48:45,11893,5199,5199,54999,-
11/01/2021 17:48:29,11764,5499,10499,54999,-
13/01/2021 13:03:38,10132,5490,-,54900,-
13/01/2021 14:52:26,10132,5490,7000,54900,-
13/01/2021 15:55:43,10132,5490,7000,54900,-
13/01/2021 15:55:51,10132,5490,7000,54900,-
13/01/2021 17:28:55,10090,5490,7000,54900,-
13/01/2021 18:36:17,10090,5490,7000,54900,-
13/01/2021 19:50:13,10090,5490,6999,54900,-
13/01/2021 22:15:24,10090,5490,6999,54900,-
14/01/2021 00:31:48,9891,5499,6999,54999,-
14/01/2021 02:32:48,9891,5499,6999,54999,-
14/01/2021 07:36:19,9891,5499,6999,54999,-
14/01/2021 13:01:21,9891,5499,-,54999,-
14/01/2021 16:11:38,9891,5499,-,54999,-
14/01/2021 19:46:02,9702,5499,-,54998,-
14/01/2021 23:41:46,9521,5499,-,54999,-
15/01/2021 02:39:15,9348,5499,-,54999,-
15/01/2021 04:50:05,9316,5499,7000,54999,-
16/01/2021 04:50:11,9297,5499,7899,54997,-
16/01/2021 05:53:13,9297,5499,7899,54997,-
16/01/2021 06:55:53,9297,5499,7899,54997,-
16/01/2021 07:59:27,9297,5499,7899,54997,-
16/01/2021 09:03:25,9297,5499,7899,54997,-
16/01/2021 10:06:36,9297,5499,7899,54997,-
16/01/2021 11:11:12,9297,5499,7899,54997,-
16/01/2021 15:31:50,9297,5499,7899,54997,-
16/01/2021 16:37:56,9297,5499,7899,54997,-
16/01/2021 18:39:42,9297,5499,7899,54997,-
16/01/2021 19:49:08,9297,5499,7899,54997,-
16/01/2021 20:59:28,9272,5499,7900,54997,-
16/01/2021 22:16:10,9272,5499,7900,54997,-
16/01/2021 23:27:23,9272,5499,7900,54997,-
17/01/2021 01:19:23,9110,5499,7900,54998,-
17/01/2021 02:14:00,9110,5499,7900,54998,-
17/01/2021 03:07:23,9110,5499,7900,54998,-
17/01/2021 04:00:02,9110,5499,7900,54998,-
17/01/2021 04:54:27,9110,5499,7900,54998,-
17/01/2021 05:46:43,9110,5499,7900,54998,-
17/01/2021 06:38:29,9110,5499,7900,54998,-
17/01/2021 07:30:44,8941,5499,9000,54998,-
17/01/2021 09:15:28,8941,5499,9000,54998,-
17/01/2021 10:08:45,8941,5499,9000,54998,-
17/01/2021 12:24:12,8941,5499,9000,54998,-
17/01/2021 13:17:48,8941,5499,9000,54998,-
17/01/2021 14:11:46,8941,5499,9000,54998,-
17/01/2021 15:04:59,8941,5499,9000,54998,-
17/01/2021 15:59:19,8941,5499,9000,54998,-
