,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 03:42:29,37,30,30,998,3795
11/01/2021 16:09:58,39,25,29,250,3990
11/01/2021 19:10:30,77,29,29,998,7699
14/01/2021 01:59:04,63,59,-,898,5900
14/01/2021 07:02:49,63,49,60,898,4995
14/01/2021 12:28:28,49,49,60,898,4994
14/01/2021 14:30:36,49,49,60,898,4994
14/01/2021 15:37:20,50,49,-,898,4994
14/01/2021 19:11:12,49,49,-,898,4995
14/01/2021 23:06:03,49,40,-,400,4994
15/01/2021 02:04:12,51,49,-,898,4992
15/01/2021 04:14:20,50,49,-,898,4992
