,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 03:42:35,670,679,-,9977,67999
11/01/2021 16:11:07,834,839,999,8499,83991
11/01/2021 19:11:40,585,550,829,9399,55000
14/01/2021 01:59:15,661,619,1250,9898,61997
14/01/2021 07:03:00,613,599,1200,9898,59999
14/01/2021 12:28:38,600,600,1200,9897,60000
14/01/2021 14:30:47,600,599,1199,9897,59900
14/01/2021 15:37:31,599,595,1199,9897,59500
14/01/2021 19:11:24,640,599,999,9975,59999
14/01/2021 23:06:14,593,590,999,6500,59000
15/01/2021 02:04:23,691,599,999,9990,59989
15/01/2021 04:14:32,606,600,888,9989,60000
