,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 03:43:26,558,500,500,5000,55800
11/01/2021 16:11:24,557,540,-,5400,55797
11/01/2021 19:11:57,542,539,-,-,53998
14/01/2021 02:00:17,543,543,789,5588,54300
14/01/2021 07:04:02,541,543,789,5587,54380
14/01/2021 12:29:40,520,499,789,5490,49997
14/01/2021 14:31:46,506,498,789,5490,49899
14/01/2021 15:38:34,401,489,789,5490,48999
14/01/2021 19:12:27,500,498,789,5587,49840
14/01/2021 23:07:17,462,429,789,5587,42996
15/01/2021 02:05:23,424,432,789,5588,43299
15/01/2021 04:15:33,443,467,789,5588,46790
