,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 03:43:03,1578,1799,3000,20500,179998
11/01/2021 16:11:04,1678,1739,-,20998,173994
11/01/2021 19:11:37,1701,1500,-,15000,171997
14/01/2021 01:59:56,1615,1645,1799,17895,164500
14/01/2021 07:03:41,1736,1698,1799,18898,169899
14/01/2021 12:29:18,1698,1687,1799,18893,168799
14/01/2021 14:31:27,1698,1688,1799,18893,168800
14/01/2021 15:38:14,1703,1687,1799,18894,168799
14/01/2021 19:12:08,1700,1650,1650,17777,168797
14/01/2021 23:06:57,1681,1500,1500,16888,168700
15/01/2021 02:05:04,1687,1500,1500,18881,168797
15/01/2021 04:15:14,1701,1200,1200,18881,168796
