,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 03:43:49,9786,8999,11500,100000,899992
11/01/2021 16:11:50,9463,8999,15498,112987,899992
11/01/2021 19:12:23,9852,8999,15000,111999,899992
14/01/2021 02:00:50,10035,9599,15895,113999,959999
14/01/2021 07:04:35,10494,9599,15000,114891,959999
14/01/2021 12:30:13,10188,9599,15599,114886,959999
14/01/2021 14:32:12,10244,9599,15598,114882,959999
14/01/2021 15:39:01,10349,9599,15598,114883,959999
14/01/2021 19:12:55,10072,8999,15500,114000,899999
14/01/2021 23:07:44,10688,8999,10700,104998,899998
15/01/2021 02:05:48,10663,8999,15898,114892,899998
15/01/2021 04:15:59,10826,8999,15898,114900,899996
