,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 03:43:46,2842,2200,2500,25000,220000
11/01/2021 16:11:56,2797,1999,-,25000,199999
11/01/2021 19:12:29,2760,1999,-,-,199999
14/01/2021 02:00:54,2237,1996,-,39855,199666
14/01/2021 07:04:39,2237,1996,-,39800,199666
14/01/2021 12:30:17,2237,1996,-,39800,199666
14/01/2021 14:32:16,2237,1996,-,39800,199666
14/01/2021 15:39:05,2237,1996,10000,39800,199666
14/01/2021 19:12:58,2237,1996,5999,39799,199665
14/01/2021 23:07:48,2313,1995,5999,33333,199500
15/01/2021 02:05:52,2313,1995,5999,33332,199500
15/01/2021 04:16:02,2313,1995,5999,33332,199500
