,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 03:00:32,17665,-,-,-,-
11/01/2021 15:30:07,17665,-,-,-,-
11/01/2021 18:30:15,17665,-,-,-,-
14/01/2021 01:54:15,17665,-,-,-,-
14/01/2021 06:46:15,17665,-,-,-,-
14/01/2021 06:58:00,17665,-,-,-,-
14/01/2021 12:23:45,17743,-,-,-,-
14/01/2021 14:25:48,17743,30000,30000,-,-
14/01/2021 15:32:28,17743,30000,30000,-,-
14/01/2021 19:06:25,17743,30000,30000,-,-
14/01/2021 22:47:58,17743,30000,30000,-,-
14/01/2021 23:01:11,17743,30000,30000,-,-
15/01/2021 01:59:11,17743,30000,30000,-,-
15/01/2021 03:47:31,17743,30000,30000,-,-
15/01/2021 04:09:24,17743,30000,30000,-,-
15/01/2021 11:01:04,17743,29999,29999,-,-
17/01/2021 01:27:14,17775,25000,25000,-,-
17/01/2021 05:37:55,17775,25000,25000,-,-
17/01/2021 09:26:26,17775,25000,25000,-,-
17/01/2021 12:48:23,17775,25000,25000,-,-
17/01/2021 14:27:56,17775,25000,25000,-,-
17/01/2021 15:56:53,17775,25000,25000,-,-
17/01/2021 18:16:35,17775,25000,25000,-,-
18/01/2021 14:20:13,17808,29999,29999,-,-
18/01/2021 16:50:57,17808,29999,29999,-,-
18/01/2021 18:35:13,17808,29999,29999,-,-
