,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 03:01:00,25712,28999,28999,-,-
11/01/2021 15:30:35,25726,28999,28999,-,-
11/01/2021 18:30:44,25726,28999,28999,-,-
14/01/2021 01:54:51,-,28999,28999,-,-
14/01/2021 06:46:51,-,28999,28999,-,-
14/01/2021 06:58:36,-,28999,28999,-,-
14/01/2021 12:24:19,-,28999,28999,-,-
14/01/2021 14:26:24,-,28999,28999,-,-
14/01/2021 15:33:04,25814,28999,28999,-,-
14/01/2021 19:07:01,25814,28500,28500,-,-
14/01/2021 22:48:35,25814,28500,28500,-,-
14/01/2021 23:01:48,25814,28500,28500,-,-
15/01/2021 01:59:47,25814,28500,28500,-,-
15/01/2021 03:48:04,-,28999,28999,-,-
15/01/2021 04:09:58,-,28999,28999,-,-
15/01/2021 11:01:37,-,28999,28999,-,-
17/01/2021 01:27:51,-,25000,25000,-,-
17/01/2021 05:38:40,-,25000,25000,-,-
17/01/2021 09:27:11,-,25000,25000,-,-
17/01/2021 12:49:12,-,28999,28999,-,-
17/01/2021 14:28:40,-,28999,28999,-,-
17/01/2021 15:57:38,-,28999,28999,-,-
17/01/2021 18:17:15,-,28999,28999,-,-
18/01/2021 14:20:49,25808,28999,28999,-,-
18/01/2021 16:51:32,25808,28999,28999,-,-
18/01/2021 18:35:51,25808,28999,28999,-,-
