,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 03:01:51,11732,5997,5997,-,-
11/01/2021 15:31:30,11732,5997,5997,-,-
11/01/2021 18:31:37,11732,5997,5997,-,-
14/01/2021 01:55:56,11732,5997,5997,-,-
14/01/2021 06:47:55,11732,5997,5997,-,-
14/01/2021 06:59:40,11732,5997,5997,-,-
14/01/2021 12:25:22,11732,5997,5997,-,-
14/01/2021 14:27:28,11732,5997,5997,-,-
14/01/2021 15:34:08,11732,5997,5997,-,-
14/01/2021 19:07:55,11732,5997,5997,-,-
14/01/2021 22:49:40,11732,-,-,-,-
14/01/2021 23:02:52,11732,-,-,-,-
15/01/2021 02:00:48,11732,-,-,-,-
15/01/2021 03:49:02,11732,-,-,-,-
15/01/2021 04:10:55,11732,-,-,-,-
15/01/2021 11:02:34,11732,-,-,-,-
17/01/2021 01:28:56,11732,-,-,-,-
17/01/2021 05:39:46,11732,-,-,-,-
17/01/2021 09:28:17,11732,-,-,-,-
17/01/2021 11:12:19,11732,-,-,-,-
17/01/2021 12:50:21,11732,-,-,-,-
17/01/2021 14:29:44,11732,-,-,-,-
17/01/2021 15:58:43,11732,-,-,-,-
17/01/2021 18:18:26,11732,-,-,-,-
18/01/2021 14:21:52,11732,-,-,-,-
18/01/2021 16:52:40,11732,-,-,-,-
18/01/2021 18:36:57,11732,-,-,-,-
