,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 03:01:37,30411,36988,36988,-,-
11/01/2021 15:31:17,30411,36988,36988,-,-
11/01/2021 18:31:24,30411,36988,36988,-,-
14/01/2021 01:55:35,30411,36988,36988,-,-
14/01/2021 06:47:35,30411,36988,36988,-,-
14/01/2021 06:59:20,30411,36988,36988,-,-
14/01/2021 12:25:01,30411,36988,36988,-,-
14/01/2021 14:27:08,30411,36988,36988,-,-
14/01/2021 15:33:48,30411,36988,36988,-,-
14/01/2021 19:07:34,30411,36988,36988,-,-
14/01/2021 22:49:19,30411,36988,36988,-,-
14/01/2021 23:02:32,30411,36988,36988,-,-
15/01/2021 02:00:25,30411,36988,36988,-,-
15/01/2021 03:48:41,30411,36988,36988,-,-
15/01/2021 04:10:34,30411,36988,36988,-,-
15/01/2021 11:02:14,30411,36987,36987,-,-
