,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 03:01:17,16080,35000,35000,-,-
11/01/2021 03:01:21,16080,35000,35000,-,-
11/01/2021 15:30:54,16080,35000,35000,-,-
11/01/2021 15:31:01,16080,35000,35000,-,-
11/01/2021 18:31:01,16080,35000,35000,-,-
11/01/2021 18:31:07,16080,35000,35000,-,-
15/01/2021 11:01:56,16165,38000,38000,-,-
17/01/2021 01:28:09,16165,35000,35000,-,-
17/01/2021 01:28:17,16165,35000,35000,-,-
17/01/2021 05:39:00,16165,35000,35000,-,-
17/01/2021 05:39:04,16165,35000,35000,-,-
17/01/2021 09:27:31,16165,35000,35000,-,-
17/01/2021 09:27:35,16165,35000,35000,-,-
17/01/2021 11:11:37,16165,35000,35000,-,-
17/01/2021 12:49:33,16165,35000,35000,-,-
17/01/2021 12:49:38,16165,35000,35000,-,-
17/01/2021 14:28:59,16165,35000,35000,-,-
17/01/2021 14:29:04,16165,35000,35000,-,-
17/01/2021 15:57:58,16165,35000,35000,-,-
17/01/2021 15:58:02,16165,35000,35000,-,-
17/01/2021 18:17:35,16165,35000,35000,-,-
17/01/2021 18:17:44,16165,35000,35000,-,-
18/01/2021 14:21:07,16165,35000,35000,-,-
18/01/2021 14:21:14,16165,35000,35000,-,-
18/01/2021 16:51:51,16165,35000,35000,-,-
18/01/2021 16:51:59,16165,35000,35000,-,-
18/01/2021 18:36:10,16165,35000,35000,-,-
18/01/2021 18:36:18,16165,35000,35000,-,-
