,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:20:18,489851,399999,399999,2,399999,399999,0,0
11/01/2021 13:53:47,489851,399999,399999,3,399999,399999,0,0
11/01/2021 16:53:05,489851,399999,399999,3,399999,399999,0,0
17/01/2021 05:14:17,489851,395000,1200000,5,558999,399999,128405238500,358336
17/01/2021 09:00:42,489851,395000,1200000,5,558999,399999,128405238500,358336
17/01/2021 10:45:35,489851,395000,1200000,5,558999,399999,128405238500,358336
17/01/2021 12:22:25,489851,395000,1200000,5,558999,399999,128405238500,358336
17/01/2021 14:03:04,489851,395000,1200000,5,558999,399999,128405238500,358336
17/01/2021 15:31:43,489851,395000,1200000,5,558999,399999,128405238500,358336
17/01/2021 17:18:11,489851,395000,1200000,5,558999,399999,128405238500,358336
17/01/2021 17:50:12,489851,395000,1200000,5,558999,399999,128405238500,358336
18/01/2021 13:57:43,489851,395000,1200000,5,558999,399999,128405238500,358336
18/01/2021 16:28:20,489851,395000,1200000,5,558999,399999,128405238500,358336
18/01/2021 18:12:10,489851,395000,1200000,5,558999,399999,128405238500,358336
