,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:34:26,555,390,390,-,60000
11/01/2021 02:44:03,555,390,390,-,60000
11/01/2021 15:05:49,552,599,-,-,59999
11/01/2021 15:15:15,552,599,-,-,59999
11/01/2021 18:05:48,552,599,-,-,59999
11/01/2021 18:15:19,552,599,-,-,59999
13/01/2021 14:00:01,570,511,549,-,51111
13/01/2021 14:11:51,570,511,549,-,51111
13/01/2021 15:13:48,570,511,549,-,51111
13/01/2021 16:17:29,570,511,549,-,51111
13/01/2021 16:29:42,570,511,549,-,51111
13/01/2021 17:51:32,570,511,549,-,51111
13/01/2021 18:04:13,570,511,549,-,51111
13/01/2021 18:58:22,570,511,549,-,51111
13/01/2021 19:10:42,570,511,549,-,51111
13/01/2021 20:13:44,570,511,549,-,51111
13/01/2021 20:24:38,570,511,549,-,51111
13/01/2021 22:38:35,552,350,350,-,51111
13/01/2021 22:47:47,539,350,350,-,51111
14/01/2021 00:53:50,530,350,350,-,51111
14/01/2021 01:06:39,530,350,350,-,51111
14/01/2021 02:54:28,530,350,350,-,51111
14/01/2021 03:06:18,530,350,350,-,51111
14/01/2021 07:58:03,520,511,-,-,51109
14/01/2021 08:09:50,520,511,-,-,51109
14/01/2021 13:23:19,515,499,-,-,49999
14/01/2021 13:35:01,515,499,-,-,49999
14/01/2021 16:34:20,515,499,-,-,49999
14/01/2021 16:40:40,515,499,-,-,49999
14/01/2021 20:08:52,515,499,-,-,49999
14/01/2021 20:21:18,515,499,-,-,49999
15/01/2021 00:04:23,323,400,-,-,40000
15/01/2021 00:16:50,323,400,-,-,40000
15/01/2021 03:01:41,323,400,-,-,40000
15/01/2021 03:14:22,323,400,-,-,40000
15/01/2021 05:12:29,323,400,-,-,40000
15/01/2021 05:24:43,323,400,-,-,40000
16/01/2021 05:11:38,475,455,-,-,45555
16/01/2021 05:23:32,475,455,-,-,45555
16/01/2021 06:14:28,475,455,-,-,45555
16/01/2021 06:26:17,475,455,-,-,45555
16/01/2021 07:17:09,475,455,-,-,45555
16/01/2021 07:29:20,475,455,-,-,45555
16/01/2021 08:21:11,475,455,-,-,45555
16/01/2021 08:33:00,475,455,-,-,45555
16/01/2021 09:24:55,486,498,-,-,49899
16/01/2021 09:36:40,486,498,-,-,49899
16/01/2021 10:28:44,486,498,-,-,49899
16/01/2021 10:40:55,486,498,-,-,49899
16/01/2021 15:54:18,486,399,-,-,39900
16/01/2021 16:06:55,486,399,-,-,39900
16/01/2021 17:00:19,486,399,-,-,39900
16/01/2021 17:12:50,486,399,-,-,39900
16/01/2021 19:02:55,486,398,-,-,39899
16/01/2021 19:15:37,486,398,-,-,39899
16/01/2021 20:13:04,486,398,-,-,39899
16/01/2021 20:26:05,486,398,-,-,39899
16/01/2021 22:40:08,440,399,450,-,39900
16/01/2021 22:53:37,440,399,450,-,39900
16/01/2021 23:51:02,440,399,450,-,39900
17/01/2021 00:03:56,440,399,450,-,39900
