,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:22:47,368436,500000,850000,8,649999,599999,16428642857,128174
11/01/2021 13:56:09,369026,599999,850000,8,662499,599999,13392964285,115727
11/01/2021 16:55:25,369026,599999,850000,8,662499,599999,13392964285,115727
17/01/2021 05:16:19,372209,450000,650000,8,512499,499999,3392878571,58248
17/01/2021 09:02:50,372209,450000,650000,8,512499,499999,3392878571,58248
17/01/2021 10:47:39,372209,450000,650000,8,512499,499999,3392878571,58248
17/01/2021 12:24:36,372209,450000,650000,8,512499,499999,3392878571,58248
17/01/2021 14:05:08,372209,450000,650000,8,512499,499999,3392878571,58248
17/01/2021 15:33:51,372209,450000,650000,8,512499,499999,3392878571,58248
17/01/2021 17:20:24,372209,450000,650000,8,512499,499999,3392878571,58248
17/01/2021 17:52:31,372209,450000,650000,8,512499,499999,3392878571,58248
18/01/2021 13:59:34,372209,450000,650000,8,524999,499999,4285750000,65465
18/01/2021 16:30:10,372209,450000,650000,8,524999,499999,4285750000,65465
18/01/2021 18:14:05,372209,450000,650000,8,524999,499999,4285750000,65465
