,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 03:02:40,6286,5159,6134,64666,515999
11/01/2021 15:32:19,6316,5159,6999,64666,515998
11/01/2021 18:32:27,5938,4999,6997,49999,500000
14/01/2021 01:56:57,5144,4890,7999,48900,509887
14/01/2021 07:00:42,5144,4819,7999,48199,509887
14/01/2021 12:26:24,5144,3999,-,39999,509887
14/01/2021 14:28:30,5144,3999,-,39997,509887
14/01/2021 15:35:10,5095,3999,-,39999,509887
14/01/2021 19:08:58,4850,3990,-,39900,500000
14/01/2021 22:50:42,4560,3989,6990,39899,500000
14/01/2021 23:03:54,4560,3989,6990,39899,500000
15/01/2021 02:01:55,4494,3990,6990,39900,500000
15/01/2021 03:50:05,4362,4819,6990,48197,500000
15/01/2021 04:12:01,4362,4819,6990,48197,500000
15/01/2021 11:03:39,4369,4500,6990,45000,499887
17/01/2021 01:30:02,3881,4399,5199,43999,497700
17/01/2021 05:40:59,3905,4399,-,43998,497700
17/01/2021 09:29:28,3905,3899,-,38999,497699
17/01/2021 11:13:29,3926,4399,4999,43998,497699
17/01/2021 12:51:30,3975,4400,4998,44000,497699
17/01/2021 14:30:54,4123,4499,5000,44999,497699
17/01/2021 15:59:51,4207,4800,-,48000,497699
17/01/2021 18:19:38,4281,4809,4809,48196,497699
18/01/2021 14:22:55,4005,3499,-,39998,349999
18/01/2021 16:53:45,3998,2500,2500,25555,300000
18/01/2021 18:38:02,3347,2999,5553,29999,349998
