,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:06:41,13353,9999,31000,11,16399,12000,58451280,7645
11/01/2021 13:40:44,13353,9950,31000,11,14713,12000,61941988,7870
11/01/2021 16:40:03,13353,9950,31000,14,15417,12000,66375297,8147
13/01/2021 00:38:11,13401,8500,100000,19,19044,11000,464102825,21543
13/01/2021 01:07:40,13401,8500,100000,19,19044,11000,464102825,21543
13/01/2021 01:59:30,13401,8000,100000,20,17364,10450,441517219,21012
13/01/2021 20:52:37,13510,8500,100000,20,20692,11000,507873912,22536
13/01/2021 23:14:18,13510,7999,100000,23,21254,11000,519639218,22795
14/01/2021 01:34:18,13510,7999,100000,23,21254,11000,519639218,22795
14/01/2021 03:32:46,13510,7998,100000,23,19036,10900,457724806,21394
14/01/2021 08:36:32,13510,7998,100000,23,19036,10900,457724806,21394
