,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:27:19,2733,2000,8000,3,5000,5000,9000000,3000
11/01/2021 14:00:47,2733,2000,8000,3,5000,5000,9000000,3000
11/01/2021 17:00:05,2733,1999,8000,4,4249,3500,8251500,2872
17/01/2021 01:11:36,2747,4000,49990,14,8088,4997,146454784,12101
17/01/2021 05:22:15,2747,4000,49990,14,8088,4997,146454784,12101
17/01/2021 09:09:37,2747,4000,49990,14,8088,4997,146454784,12101
17/01/2021 10:54:39,2747,4000,49990,14,8088,4997,146454784,12101
17/01/2021 12:31:07,2747,4000,49990,14,8088,4997,146454784,12101
17/01/2021 14:11:30,2747,4000,49990,14,8088,4997,146454784,12101
17/01/2021 15:40:21,2747,4000,49990,14,8088,4997,146454784,12101
17/01/2021 17:27:11,2747,3500,49990,14,7980,4873,147328114,12137
17/01/2021 17:59:31,2747,3500,49990,14,7980,4873,147328114,12137
18/01/2021 14:05:25,2747,3500,49990,17,7454,4997,121076120,11003
18/01/2021 16:36:21,2747,3500,49990,17,7454,4997,121076120,11003
18/01/2021 18:20:07,2747,3500,49990,17,7395,4997,121442645,11020
