,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:27:12,2618,2000,8500,23,5490,6900,6466523,2542
11/01/2021 14:00:40,2611,2000,8500,23,5490,6900,6466523,2542
11/01/2021 16:59:57,2611,1999,8500,23,5229,6800,6663038,2581
17/01/2021 01:11:29,2616,6899,8500,11,7461,7000,353435,594
17/01/2021 05:22:07,2616,6899,8500,14,7362,6999,310605,557
17/01/2021 09:09:29,2616,6899,8500,14,7362,6999,310605,557
17/01/2021 10:54:30,2616,6899,8500,13,7313,6999,299976,547
17/01/2021 12:30:59,2616,6899,8500,13,7313,6999,299976,547
17/01/2021 14:11:21,2616,6899,8500,13,7313,6999,299976,547
17/01/2021 15:40:12,2616,6699,8500,14,7255,6999,317998,563
17/01/2021 17:27:01,2616,6699,8500,14,7255,6999,317998,563
17/01/2021 17:59:22,2616,6699,8500,14,7255,6999,317998,563
18/01/2021 14:05:16,2636,5000,8500,17,6955,6999,735036,857
18/01/2021 16:36:13,2636,5000,8500,17,6955,6999,735036,857
18/01/2021 18:19:58,2636,5000,8500,17,6955,6999,735036,857
