,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
11/01/2021 01:13:31,2487232,2300000,5555555,20,2659011,2500000,486749960317,697674
11/01/2021 13:47:21,2483771,2500000,5555555,14,2805015,2599999,642288864696,801429
11/01/2021 16:46:35,2483844,1800000,5555555,20,2553461,2557828,649162608797,805706
13/01/2021 00:46:59,2472310,2385555,5555555,17,2698984,2500000,565160442852,751771
13/01/2021 01:16:17,2472310,2385555,5555555,17,2698984,2500000,565160442852,751771
13/01/2021 02:08:33,2472310,2385555,5555555,17,2698984,2500000,565160442852,751771
13/01/2021 21:01:20,2468179,2385555,5555555,11,2835465,2599999,841311833813,917230
14/01/2021 01:43:17,2470691,2385555,5555555,8,2886388,2549999,1171092065687,1082170
14/01/2021 03:41:06,2470691,2385555,5555555,11,2999191,2600000,930589762969,964670
14/01/2021 08:44:43,2470730,2099999,5555555,8,2986388,2599999,1282774918942,1132596
14/01/2021 14:08:16,2466377,2099999,5555555,8,2986388,2599999,1282774918942,1132596
14/01/2021 20:57:09,2463073,2500000,5555555,8,3063194,2599999,1164487721737,1079114
15/01/2021 00:51:25,2468538,2000000,5555555,8,2798905,2500000,1281646029078,1132098
15/01/2021 05:59:22,2468538,1999999,5555555,11,2690112,2500000,955870645159,977686
