,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
17/01/2021 01:16:14,150249,380000,395950,4,386487,385000,62017291,7875
17/01/2021 05:26:46,150249,380000,395950,4,386487,385000,62017291,7875
17/01/2021 09:14:38,150249,380000,395950,4,386487,385000,62017291,7875
17/01/2021 10:59:32,150249,380000,395950,4,386487,385000,62017291,7875
17/01/2021 12:35:58,150249,380000,395950,4,386487,385000,62017291,7875
17/01/2021 14:16:10,150249,380000,395950,4,386487,385000,62017291,7875
17/01/2021 15:45:10,150249,380000,395950,4,386487,385000,62017291,7875
17/01/2021 17:31:57,150249,380000,395950,4,386487,385000,62017291,7875
17/01/2021 18:04:29,150249,380000,395950,4,386487,385000,62017291,7875
18/01/2021 14:09:45,150249,380000,395950,4,386487,385000,62017291,7875
18/01/2021 16:40:33,150249,380000,395950,4,386487,385000,62017291,7875
18/01/2021 18:24:31,150249,380000,395950,4,386487,385000,62017291,7875
