,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:58:53,13,9,-,-,995
11/01/2021 15:28:31,13,9,-,-,994
11/01/2021 18:28:38,13,5,-,-,500
14/01/2021 01:52:11,10,4,-,48,1299
14/01/2021 06:44:09,10,4,-,48,1299
14/01/2021 06:55:48,10,4,-,48,1299
14/01/2021 12:21:45,10,4,-,48,1299
14/01/2021 14:23:39,11,4,-,45,1390
14/01/2021 15:30:23,11,4,-,45,1390
14/01/2021 19:04:15,11,4,-,44,1200
14/01/2021 22:45:52,11,4,-,44,1199
14/01/2021 22:59:05,11,4,-,44,1199
15/01/2021 01:56:55,11,4,-,44,1198
15/01/2021 03:45:23,11,4,-,44,1100
15/01/2021 04:07:13,11,4,-,44,1100
15/01/2021 10:58:55,11,4,-,44,1050
