,average_sold_price,min_selling_price,max_selling_price,number_on_sell,mean,median,variance,stdev
17/01/2021 01:14:41,170053,350000,350000,1,,,,
17/01/2021 05:25:16,170053,350000,350000,1,,,,
17/01/2021 09:12:58,170053,350000,350000,1,,,,
17/01/2021 10:57:49,170053,350000,350000,1,,,,
17/01/2021 12:34:23,170053,350000,350000,1,,,,
17/01/2021 14:14:37,170053,350000,350000,1,,,,
17/01/2021 15:43:31,170053,350000,350000,1,,,,
17/01/2021 17:30:14,170053,350000,350000,1,,,,
17/01/2021 18:02:43,170053,350000,350000,1,,,,
18/01/2021 14:08:20,170053,350000,350000,1,,,,
18/01/2021 16:39:09,170053,350000,350000,1,,,,
18/01/2021 18:23:04,170053,350000,350000,1,,,,
