,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:04:08,1771,14999,14999,-,-
11/01/2021 14:35:38,1771,14000,14000,145222,-
11/01/2021 17:35:22,1771,14000,14000,145222,-
13/01/2021 11:59:11,2542,8888,-,88887,-
13/01/2021 12:46:40,2542,8888,-,88887,-
13/01/2021 13:24:50,2542,8888,-,88887,-
13/01/2021 14:35:49,2542,8888,-,88887,-
13/01/2021 15:39:09,2542,8888,-,88887,-
13/01/2021 17:11:40,2542,8888,-,88884,-
13/01/2021 18:18:54,2542,8888,-,88884,-
13/01/2021 19:32:44,2542,8888,-,88884,-
13/01/2021 21:58:08,2542,8800,-,88000,-
14/01/2021 00:14:52,2542,8800,12999,88000,-
14/01/2021 02:16:04,2542,8800,12999,88000,-
14/01/2021 07:19:45,2542,8800,-,88000,-
14/01/2021 12:44:56,2542,8800,-,88000,-
14/01/2021 15:54:35,2542,8800,-,88000,-
14/01/2021 19:28:38,2542,8800,12999,88000,-
14/01/2021 23:24:12,2542,8800,12000,88000,-
15/01/2021 02:22:06,2542,8800,12000,88000,-
15/01/2021 04:32:40,2542,8800,12000,88000,-
16/01/2021 04:33:14,2542,2600,12000,26000,-
16/01/2021 05:36:25,2542,2600,12000,26000,-
16/01/2021 06:39:08,2542,2600,12000,26000,-
16/01/2021 07:42:25,2542,2600,12000,26000,-
16/01/2021 08:46:15,2542,2600,12000,26000,-
16/01/2021 09:49:40,2542,2600,12000,26000,-
16/01/2021 10:54:03,2542,2600,12000,26000,-
16/01/2021 15:13:37,2542,2600,12000,26000,-
16/01/2021 16:20:21,2542,2600,12000,26000,-
16/01/2021 18:21:09,2542,2600,12000,26000,-
16/01/2021 19:30:13,2542,2600,11000,26000,-
16/01/2021 20:40:35,2542,2600,11000,26000,-
16/01/2021 21:56:59,2542,2600,11000,26000,-
16/01/2021 23:08:29,2544,8800,11000,88000,-
17/01/2021 01:01:23,2544,2800,11000,28000,-
17/01/2021 01:56:06,2555,8800,11000,88000,-
17/01/2021 02:49:38,2555,8800,11000,88000,-
17/01/2021 03:42:41,2555,8800,11000,88000,-
17/01/2021 04:36:04,2555,8800,11000,88000,-
17/01/2021 05:29:40,2555,8800,11000,88000,-
17/01/2021 06:21:12,2555,8800,11000,88000,-
17/01/2021 07:13:17,2555,8800,11000,88000,-
17/01/2021 08:58:17,2555,8800,11000,88000,-
17/01/2021 09:50:53,2555,8800,11000,88000,-
17/01/2021 12:06:28,2555,2800,11000,28000,-
17/01/2021 13:00:08,2555,2800,11000,28000,-
17/01/2021 13:54:02,2555,2800,11000,28000,-
17/01/2021 14:47:05,2555,2800,11000,28000,-
17/01/2021 15:41:38,2555,2800,11000,28000,-
18/01/2021 14:17:17,2555,2000,11000,20000,-
18/01/2021 15:21:27,2555,2000,11000,20000,-
18/01/2021 15:54:47,2555,2000,11000,20000,-
18/01/2021 16:32:12,2555,2000,11000,20000,-
18/01/2021 17:03:02,2555,2000,11000,20000,-
18/01/2021 17:34:02,2555,2000,11000,20000,-
