,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 03:37:36,2510,1250,1250,-,-
11/01/2021 16:05:59,2510,1250,1250,-,-
11/01/2021 19:06:30,2510,1250,1250,-,-
14/01/2021 02:02:28,2461,1400,1400,-,-
14/01/2021 07:06:14,2456,1700,1700,-,-
14/01/2021 12:31:48,2456,1700,1700,-,-
14/01/2021 14:33:50,2456,1700,1700,-,-
14/01/2021 15:40:45,2456,1700,1700,-,-
14/01/2021 19:14:39,2456,1700,1700,-,-
14/01/2021 23:09:32,2456,1600,1600,-,-
15/01/2021 02:07:39,2456,1598,1598,-,-
15/01/2021 04:17:50,2456,1598,1598,-,-
15/01/2021 11:05:55,2456,1500,1500,-,-
