,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 03:37:26,953,949,949,10000,-
11/01/2021 16:05:49,953,948,948,10000,-
11/01/2021 19:06:20,969,1029,-,10293,-
14/01/2021 02:02:21,961,1004,1004,10293,-
14/01/2021 07:06:08,961,1000,1000,10293,-
14/01/2021 12:31:42,961,1000,1000,10293,-
14/01/2021 14:33:44,961,1000,1000,10293,-
14/01/2021 15:40:38,961,1000,1000,10293,-
14/01/2021 19:14:32,961,999,999,10293,-
14/01/2021 23:09:25,961,999,999,10293,-
15/01/2021 02:07:32,961,950,950,10293,-
15/01/2021 04:17:43,961,950,950,10293,-
15/01/2021 11:05:49,961,949,949,10293,-
