,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:33:18,-,800,1499,8000,80000
11/01/2021 02:42:51,-,800,1499,8000,80000
11/01/2021 15:04:20,-,800,1499,8000,80000
11/01/2021 15:13:46,-,800,1499,8000,80000
11/01/2021 18:04:18,-,800,1499,8000,80000
11/01/2021 18:13:48,-,800,1499,8000,80000
13/01/2021 13:58:08,0,800,1499,8000,80000
13/01/2021 14:09:58,0,800,1499,8000,80000
13/01/2021 15:11:56,0,800,1499,8000,80000
13/01/2021 16:15:34,0,800,1499,8000,80000
13/01/2021 16:27:51,0,800,1499,8000,80000
13/01/2021 17:49:33,0,800,1499,8000,80000
13/01/2021 18:02:16,0,800,1499,8000,80000
13/01/2021 18:56:31,0,800,1499,8000,80000
13/01/2021 19:08:52,0,800,1499,8000,80000
13/01/2021 20:11:45,0,800,1499,8000,80000
13/01/2021 22:36:31,0,800,1499,8000,80000
13/01/2021 22:45:45,0,800,1499,8000,80000
14/01/2021 00:51:47,0,800,1499,8000,80000
14/01/2021 01:04:47,0,800,1499,8000,80000
14/01/2021 02:52:40,0,800,1499,8000,80000
14/01/2021 03:04:31,0,800,1499,8000,80000
14/01/2021 07:56:18,0,800,1499,8000,80000
14/01/2021 08:08:06,0,800,1499,8000,80000
14/01/2021 13:21:29,0,800,1499,8000,80000
14/01/2021 13:33:16,0,800,1499,8000,80000
14/01/2021 16:32:23,0,800,1499,8000,80000
14/01/2021 16:38:41,0,800,1499,8000,80000
14/01/2021 20:06:59,0,800,1499,8000,80000
14/01/2021 20:19:27,0,800,1499,8000,80000
15/01/2021 00:02:32,0,800,1499,8000,80000
15/01/2021 00:15:03,0,800,1499,8000,80000
15/01/2021 02:59:49,0,800,1499,8000,80000
15/01/2021 03:12:35,0,800,1499,8000,80000
15/01/2021 05:10:36,0,800,1499,8000,80000
15/01/2021 05:22:56,0,800,1499,8000,80000
16/01/2021 05:09:45,0,800,1499,8000,80000
16/01/2021 05:21:42,0,800,1499,8000,80000
16/01/2021 06:12:38,0,800,1499,8000,80000
16/01/2021 06:24:28,0,800,1499,8000,80000
16/01/2021 07:15:19,0,800,1499,8000,80000
16/01/2021 07:27:27,0,800,1499,8000,80000
16/01/2021 08:19:21,0,800,1499,8000,80000
16/01/2021 08:31:10,0,800,1499,8000,80000
16/01/2021 09:23:05,0,800,1499,8000,80000
16/01/2021 09:34:50,0,800,1499,8000,80000
16/01/2021 10:26:53,0,800,1499,8000,80000
16/01/2021 10:39:01,0,800,1499,8000,80000
16/01/2021 15:52:21,0,800,1499,8000,80000
16/01/2021 16:04:59,0,800,1499,8000,80000
16/01/2021 16:58:21,0,800,1499,8000,80000
16/01/2021 17:10:53,0,800,1499,8000,80000
16/01/2021 19:00:50,0,800,1499,8000,80000
16/01/2021 19:13:37,0,800,1499,8000,80000
16/01/2021 20:10:59,0,800,1499,8000,80000
16/01/2021 20:23:54,0,800,1499,8000,80000
16/01/2021 22:38:00,0,800,1499,8000,80000
16/01/2021 22:51:31,0,800,1499,8000,80000
16/01/2021 23:48:58,0,800,1499,8000,80000
17/01/2021 00:01:59,0,800,1499,8000,80000
17/01/2021 01:40:21,800,800,1499,8000,80000
17/01/2021 02:34:16,800,800,1499,8000,80000
17/01/2021 03:27:03,800,800,1499,8000,80000
17/01/2021 04:20:03,800,800,1499,8000,80000
17/01/2021 05:14:28,800,800,1499,8000,80000
17/01/2021 06:06:16,800,800,1499,8000,80000
17/01/2021 06:58:13,800,800,1499,8000,80000
17/01/2021 07:50:26,800,800,1499,8000,80000
17/01/2021 09:35:11,800,800,1499,8000,80000
17/01/2021 10:29:26,800,800,1499,8000,80000
17/01/2021 12:44:49,800,800,1499,8000,80000
17/01/2021 13:38:25,800,800,1499,8000,80000
17/01/2021 14:31:47,800,800,1499,8000,80000
17/01/2021 15:25:45,800,800,1499,8000,80000
17/01/2021 16:20:20,800,800,1499,8000,80000
18/01/2021 14:10:24,800,800,1499,8000,80000
18/01/2021 14:44:28,800,800,1499,8000,80000
18/01/2021 14:45:35,800,800,1499,8000,80000
18/01/2021 15:14:38,800,800,1499,8000,80000
18/01/2021 15:46:36,800,800,1499,8000,80000
18/01/2021 16:24:04,800,800,1499,8000,80000
18/01/2021 16:56:14,800,800,1499,8000,80000
18/01/2021 16:57:40,800,800,1499,8000,80000
18/01/2021 17:27:38,800,800,1499,8000,80000
18/01/2021 17:58:48,800,800,1499,8000,80000
