,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:22:17,2284,1999,2599,22495,199998
11/01/2021 14:53:48,2278,1999,2599,20000,199998
11/01/2021 17:53:31,2263,1950,-,22495,195000
13/01/2021 13:44:32,2096,1949,2200,22490,194999
13/01/2021 14:58:38,2096,1949,2200,22489,194999
13/01/2021 16:02:15,2096,1949,2200,22488,194999
13/01/2021 17:35:35,2096,1945,2200,22488,194555
13/01/2021 18:42:49,2096,1945,2200,22488,194555
13/01/2021 19:56:50,2096,1945,2200,22488,194555
13/01/2021 22:22:09,2096,1945,2200,22488,194554
14/01/2021 00:38:26,2096,1945,2200,22488,194554
14/01/2021 02:39:09,2096,1945,2200,22488,194554
14/01/2021 07:42:38,2096,1930,2200,22488,193000
14/01/2021 13:07:47,2096,1900,2200,22000,190000
14/01/2021 16:18:25,2035,1930,2200,22000,193000
14/01/2021 19:52:26,2058,1930,2200,21000,193000
14/01/2021 23:48:24,2065,1000,1000,22488,189999
15/01/2021 02:45:46,2065,1000,1000,22488,189999
15/01/2021 04:56:42,2065,1000,1000,22488,189999
16/01/2021 15:38:45,2077,1745,1999,22486,174500
16/01/2021 16:44:36,2077,1700,1999,19999,170000
