,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:39:26,1777,1300,-,64997,130000
11/01/2021 02:41:16,28627,-,-,-,-
11/01/2021 02:49:03,1777,1300,-,64997,130000
11/01/2021 02:50:52,28627,-,-,-,-
11/01/2021 02:50:56,28627,-,-,-,-
11/01/2021 15:11:00,1777,1300,-,64997,130000
11/01/2021 15:12:37,28541,-,-,-,-
11/01/2021 15:20:27,1777,1300,-,64997,130000
11/01/2021 15:22:04,28541,-,-,-,-
11/01/2021 18:11:03,1777,1300,6000,64997,130000
11/01/2021 18:12:39,28541,-,-,-,-
11/01/2021 18:20:31,1777,1300,6000,64997,130000
11/01/2021 18:22:07,28541,-,-,-,-
13/01/2021 14:06:51,1774,1300,5799,63999,130000
13/01/2021 14:18:39,1774,1300,5799,63999,130000
13/01/2021 14:20:39,28445,17698,17698,-,-
13/01/2021 14:20:44,28445,17698,17698,-,-
13/01/2021 15:20:42,1774,1300,5799,63999,130000
13/01/2021 15:22:43,28445,17698,17698,-,-
13/01/2021 15:22:47,28445,17698,17698,-,-
13/01/2021 15:23:33,28445,17698,17698,-,-
13/01/2021 16:24:15,1774,1300,5799,63999,130000
13/01/2021 16:26:17,28445,17555,17555,-,-
13/01/2021 16:26:25,28445,17555,17555,-,-
13/01/2021 16:36:26,1774,1300,5799,63999,130000
13/01/2021 16:38:29,28445,17555,17555,-,-
13/01/2021 16:38:36,28445,17555,17555,-,-
13/01/2021 17:58:38,1774,1300,5799,63999,130000
13/01/2021 18:00:40,28445,17555,17555,-,-
13/01/2021 18:00:48,28445,17555,17555,-,-
13/01/2021 18:11:15,1774,1300,5799,63999,130000
13/01/2021 18:13:16,28445,17555,17555,-,-
13/01/2021 19:05:23,1774,1300,5799,63999,130000
13/01/2021 19:07:25,28445,17000,17000,-,-
13/01/2021 19:17:42,1774,1300,5799,63999,130000
13/01/2021 19:19:45,-,-,-,-,-
13/01/2021 20:21:06,1774,1300,5799,63999,130000
13/01/2021 20:23:10,-,-,-,-,-
13/01/2021 20:23:18,-,-,-,-,-
13/01/2021 20:31:36,1774,1300,5799,63999,130000
13/01/2021 20:33:42,-,-,-,-,-
13/01/2021 22:55:16,1774,1300,5798,63999,130000
14/01/2021 01:01:09,1774,1300,5798,63999,130000
14/01/2021 01:03:18,-,17549,17549,-,-
14/01/2021 01:13:39,1774,1300,5798,63999,130000
14/01/2021 01:15:45,-,17549,17549,-,-
14/01/2021 03:01:08,1774,1300,5798,63999,130000
14/01/2021 03:03:06,-,17549,17549,-,-
14/01/2021 03:12:56,1774,1300,5798,63999,130000
14/01/2021 03:14:49,-,17549,17549,-,-
14/01/2021 08:04:13,1774,1300,5000,63999,130000
14/01/2021 08:06:34,-,17549,17549,-,-
14/01/2021 08:16:03,1774,1300,5000,63999,130000
14/01/2021 08:18:23,-,17549,17549,-,-
