,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:13:34,1375,1149,9999,16999,114998
11/01/2021 14:44:55,1375,1149,9999,16999,114998
11/01/2021 17:44:43,1389,1089,9999,-,108999
13/01/2021 12:11:17,1354,1149,-,20000,114999
13/01/2021 12:58:42,1382,1149,-,20000,114999
13/01/2021 13:37:01,1382,1149,-,20000,114999
13/01/2021 14:47:30,1382,1149,-,20000,114999
13/01/2021 15:50:53,1382,1149,-,20000,114999
13/01/2021 17:23:48,1382,1149,-,18500,114999
13/01/2021 18:31:07,1382,1149,-,18500,114999
13/01/2021 19:45:08,1382,1149,-,18500,114999
13/01/2021 22:10:09,1400,1120,-,12999,112000
14/01/2021 00:26:44,1400,1120,-,12999,112000
14/01/2021 02:27:54,1400,1120,-,12999,112000
14/01/2021 07:31:26,1400,1120,-,12999,112000
