,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:37:13,891,399,1699,3999,-
11/01/2021 02:46:48,891,399,1699,3999,-
11/01/2021 15:08:34,891,1000,1699,10000,-
11/01/2021 15:17:59,891,1000,1699,10000,-
11/01/2021 18:08:29,891,1000,1699,10000,-
11/01/2021 18:18:00,891,1000,1699,10000,-
13/01/2021 14:03:36,896,900,900,-,-
13/01/2021 14:15:24,896,900,900,-,-
13/01/2021 15:17:24,896,900,900,-,-
13/01/2021 16:21:05,896,900,900,-,-
13/01/2021 16:33:12,896,900,900,-,-
13/01/2021 17:55:16,896,900,900,-,-
13/01/2021 18:07:54,896,900,900,-,-
13/01/2021 19:02:00,896,900,900,-,-
13/01/2021 19:14:23,896,900,900,-,-
13/01/2021 20:17:38,896,900,900,-,-
13/01/2021 20:28:14,896,900,900,-,-
13/01/2021 22:42:30,896,900,900,-,-
13/01/2021 22:51:43,896,900,900,-,-
14/01/2021 00:57:44,896,900,900,-,-
14/01/2021 01:10:18,896,900,900,-,-
14/01/2021 02:57:56,896,900,900,-,-
14/01/2021 03:09:42,896,900,900,-,-
14/01/2021 08:01:33,896,900,900,-,-
14/01/2021 08:13:21,896,900,900,-,-
