,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:34:34,17564,14999,14999,159998,1759999
11/01/2021 02:44:11,17564,14999,14999,159998,1759999
11/01/2021 15:06:01,17453,15899,15899,159997,1759999
11/01/2021 15:15:26,17453,15899,15899,159997,1759999
11/01/2021 18:05:59,17453,15899,15899,159997,1759999
11/01/2021 18:15:30,17453,15899,15899,159997,1759999
13/01/2021 14:00:12,16578,13999,13999,157995,1759999
13/01/2021 14:12:02,16578,13999,13999,157995,1759999
13/01/2021 15:13:59,16578,13999,13999,157995,1759999
13/01/2021 16:17:40,16377,13999,13999,157995,1759999
13/01/2021 16:29:53,16377,13999,13999,157995,1759999
13/01/2021 17:51:44,16377,13999,13999,157995,1759999
13/01/2021 18:04:25,16377,13999,13999,157995,1759999
13/01/2021 18:58:33,16377,13900,13900,157994,1759999
13/01/2021 19:10:53,16377,13900,13900,157994,1759999
13/01/2021 20:13:56,16377,13900,13900,157994,1759999
13/01/2021 20:24:49,16377,13900,13900,157994,1759999
13/01/2021 22:38:47,16377,13899,13899,157994,1759999
13/01/2021 22:47:59,16377,13899,13899,157994,1759999
14/01/2021 00:54:02,16377,13899,13899,157993,1759999
14/01/2021 01:06:51,16377,13899,13899,157993,1759999
14/01/2021 02:54:39,16377,13899,13899,157993,1759999
14/01/2021 03:06:28,16377,13899,13899,157993,1759999
14/01/2021 07:58:17,16377,13899,13899,140000,1759999
14/01/2021 08:10:04,16377,13899,13899,140000,1759999
14/01/2021 13:23:34,16322,13899,13899,139999,1759998
14/01/2021 13:35:16,16322,13899,13899,139999,1759998
14/01/2021 16:34:35,16322,13800,13800,139999,1759998
14/01/2021 16:40:55,16322,13800,13800,139999,1759998
14/01/2021 20:09:08,16322,13700,13700,139997,1759998
14/01/2021 20:21:33,16105,13799,13799,139998,1759998
15/01/2021 00:04:39,16095,13500,13500,139995,1759998
15/01/2021 00:17:05,16095,13500,13500,139995,1759998
15/01/2021 03:01:56,15855,13900,13900,169555,1759998
15/01/2021 03:14:36,15855,13900,13900,169555,1759998
15/01/2021 05:12:45,15855,13900,13900,169555,1759998
15/01/2021 05:24:58,15855,13900,13900,169555,1759998
16/01/2021 05:11:53,15954,13999,14000,139997,1759998
16/01/2021 05:23:47,15954,13999,14000,139997,1759998
16/01/2021 06:14:42,15954,13999,14000,139997,1759998
16/01/2021 06:26:31,15954,13999,14000,139997,1759998
16/01/2021 07:17:23,15954,13999,14000,139997,1759998
16/01/2021 07:29:34,15954,13999,14000,139997,1759998
16/01/2021 08:21:25,15954,13999,14000,139997,1759998
16/01/2021 08:33:14,15954,12500,14000,125000,1759998
16/01/2021 09:25:09,15954,12500,14000,125000,1759998
16/01/2021 09:36:54,15954,12500,14000,125000,1759998
16/01/2021 10:28:58,15937,12500,14000,125000,1759998
16/01/2021 10:41:10,15937,12500,14000,125000,1759998
16/01/2021 15:54:33,15937,12499,14000,124999,1759998
16/01/2021 16:07:10,15937,12499,14000,124999,1759998
16/01/2021 17:00:33,15937,12499,14000,124999,1759998
16/01/2021 17:13:05,15937,12499,14000,124999,1759998
16/01/2021 19:03:10,15907,12499,15000,124999,1759998
16/01/2021 19:15:53,15907,12499,15000,124998,1759998
16/01/2021 20:13:20,15907,12499,15000,124998,1759998
16/01/2021 20:26:22,15907,12499,15000,124998,1759998
16/01/2021 22:40:24,15907,11000,11000,110000,1759998
16/01/2021 22:53:53,15907,11000,11000,110000,1759998
16/01/2021 23:51:18,15160,12499,15000,124999,1759998
17/01/2021 00:04:12,15160,12499,15000,124999,1759998
17/01/2021 01:42:35,15160,12499,15000,124998,1759998
17/01/2021 02:36:23,15160,10000,15000,100000,1759998
17/01/2021 03:29:10,15160,10000,15000,100000,1759998
17/01/2021 04:22:22,15160,10000,15000,100000,1759998
17/01/2021 05:16:42,15160,10000,15000,100000,1759998
17/01/2021 06:08:22,15160,10000,15000,100000,1759998
17/01/2021 07:00:24,15160,10000,15000,100000,1759998
17/01/2021 07:52:32,15160,10000,15000,100000,1759998
17/01/2021 09:37:18,15160,10000,15000,100000,1759998
17/01/2021 10:31:32,14832,12499,14999,124998,1759998
17/01/2021 12:47:00,14524,9999,9999,139996,1759998
17/01/2021 13:40:36,14524,9999,9999,139996,1759998
17/01/2021 14:33:53,14524,9999,9999,139996,1759998
17/01/2021 15:28:01,14524,9999,9999,139996,1759998
17/01/2021 16:22:31,14441,12000,12000,175998,1759998
18/01/2021 14:47:36,15103,15999,16000,159999,1759998
18/01/2021 14:47:40,15103,15999,16000,159999,1759998
18/01/2021 16:27:54,15103,15990,15990,159999,1759998
18/01/2021 16:27:58,15103,15999,-,159999,1759998
