,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:40:13,9746,15000,19798,-,1500000
11/01/2021 02:49:49,9746,15000,19798,-,1500000
11/01/2021 15:11:35,9746,4000,4000,65000,1500000
11/01/2021 15:21:01,9746,4000,4000,65000,1500000
11/01/2021 18:11:38,9746,4000,4000,65000,1500000
11/01/2021 18:21:05,9746,4000,4000,65000,1500000
13/01/2021 14:07:29,9746,4000,4000,65000,1500000
13/01/2021 14:19:16,9746,4000,4000,65000,1500000
13/01/2021 15:21:20,9746,4000,4000,65000,1500000
13/01/2021 16:24:52,9746,4000,4000,65000,1500000
13/01/2021 16:37:04,9746,4000,4000,65000,1500000
13/01/2021 17:59:12,9746,4000,4000,65000,1500000
13/01/2021 18:11:49,9746,4000,4000,65000,1500000
13/01/2021 19:06:00,9746,4000,4000,65000,1500000
13/01/2021 19:18:19,9746,4000,4000,65000,1500000
13/01/2021 20:21:44,9746,4000,4000,65000,1500000
13/01/2021 20:32:14,9746,4000,4000,65000,1500000
14/01/2021 01:01:48,9488,5999,19798,59999,1500000
14/01/2021 01:14:17,9488,5999,19798,59999,1500000
14/01/2021 03:01:43,9488,5999,19798,59999,1500000
14/01/2021 03:13:32,9488,5999,19798,59999,1500000
14/01/2021 08:05:12,9488,5999,19798,59999,1500000
14/01/2021 08:17:01,9488,5999,19798,59999,1500000
14/01/2021 13:30:27,9488,5999,19798,59999,1500000
14/01/2021 13:41:59,9488,5999,19798,59999,1500000
14/01/2021 16:48:03,9488,5999,19798,59999,1500000
14/01/2021 20:16:14,9215,6500,19798,65000,1500000
14/01/2021 20:29:05,9215,6500,19798,65000,1500000
15/01/2021 00:12:11,9098,6500,19798,65000,1500000
15/01/2021 00:24:34,9098,6500,19798,65000,1500000
15/01/2021 03:09:30,9098,6500,19798,65000,1500000
15/01/2021 03:21:57,9098,6500,19798,65000,1500000
15/01/2021 05:19:57,9098,6500,19798,65000,1500000
15/01/2021 05:32:11,9098,6500,19798,65000,1500000
16/01/2021 05:18:49,8986,6000,6000,65000,1500000
16/01/2021 05:30:38,8986,6000,6000,65000,1500000
16/01/2021 06:21:32,8986,6000,6000,65000,1500000
16/01/2021 06:33:20,8986,6000,6000,65000,1500000
16/01/2021 07:24:26,8986,6000,6000,65000,1500000
16/01/2021 07:36:34,8986,6000,6000,65000,1500000
16/01/2021 08:28:15,8986,6000,6000,65000,1500000
16/01/2021 08:40:16,8986,6000,6000,65000,1500000
16/01/2021 09:31:57,8879,6000,6000,65000,1500000
16/01/2021 09:43:50,8879,6000,6000,65000,1500000
16/01/2021 10:36:00,8879,6000,6000,65000,1500000
16/01/2021 10:48:07,8879,6000,6000,65000,1500000
16/01/2021 16:01:58,8879,6000,6000,65000,1500000
16/01/2021 16:14:24,8879,6000,6000,65000,1500000
16/01/2021 17:07:50,8879,6000,6000,65000,1500000
16/01/2021 17:20:27,8879,6000,6000,65000,1500000
16/01/2021 19:10:31,8879,6000,6000,65000,1500000
16/01/2021 19:23:35,8879,6000,6000,65000,1500000
16/01/2021 20:20:44,8879,6000,6000,65000,1500000
16/01/2021 20:33:57,8879,6000,6000,65000,1500000
16/01/2021 22:48:07,8879,6000,6000,65000,1500000
16/01/2021 23:01:39,8879,6000,6000,65000,1500000
16/01/2021 23:58:46,8316,15000,19790,160009,1500000
17/01/2021 00:11:52,8316,15000,19790,160009,1500000
