,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:39:44,35400,32000,32999,320000,-
11/01/2021 02:49:21,35400,32000,32999,320000,-
11/01/2021 15:10:43,35013,27499,27499,317996,-
11/01/2021 15:20:09,35013,27499,27499,317996,-
11/01/2021 18:10:46,33613,31699,31996,316998,-
11/01/2021 18:20:16,33613,31699,31996,316998,-
13/01/2021 14:06:28,32403,31000,-,310000,-
13/01/2021 14:18:17,32403,31000,-,310000,-
13/01/2021 15:20:19,32403,31000,31899,310000,-
13/01/2021 16:23:53,32403,31000,-,310000,-
13/01/2021 16:36:02,32403,31000,-,310000,-
13/01/2021 17:58:15,-,31000,31900,310000,-
13/01/2021 18:10:51,-,31000,31900,310000,-
13/01/2021 19:05:00,32226,31000,-,310000,-
13/01/2021 19:17:19,32226,31000,-,310000,-
13/01/2021 20:20:42,32226,31000,-,310000,-
13/01/2021 20:31:13,32226,31000,-,310000,-
13/01/2021 22:54:51,32122,31000,-,310000,-
14/01/2021 01:00:46,31975,31399,31995,313996,-
14/01/2021 01:13:16,31975,31399,31995,313996,-
14/01/2021 03:00:45,31975,31399,31996,313996,-
14/01/2021 03:12:33,31975,31399,-,313996,-
14/01/2021 08:04:21,31950,31399,-,313996,-
14/01/2021 08:16:11,31950,31399,-,313996,-
