,average_sold_price,min_selling_price,per_1,per_10,per_100
11/01/2021 02:41:51,30986,1000000,1000000,-,-
11/01/2021 02:43:54,30986,1000000,1000000,-,-
11/01/2021 15:05:43,30986,999999,999999,-,-
11/01/2021 15:15:09,30986,999999,999999,-,-
11/01/2021 18:05:42,30986,999999,999999,-,-
11/01/2021 18:15:12,30986,999999,999999,-,-
13/01/2021 13:59:55,30986,199999,199999,-,-
13/01/2021 14:11:44,30986,199999,199999,-,-
13/01/2021 15:13:41,30986,199999,199999,-,-
13/01/2021 16:17:22,30986,199999,199999,-,-
13/01/2021 16:29:36,30986,199999,199999,-,-
13/01/2021 17:51:24,30986,199999,199999,-,-
13/01/2021 18:04:06,30986,199999,199999,-,-
13/01/2021 18:58:14,30986,199999,199999,-,-
13/01/2021 19:10:34,30986,199999,199999,-,-
13/01/2021 20:13:36,30986,199999,199999,-,-
13/01/2021 20:24:30,30986,199999,199999,-,-
13/01/2021 22:38:27,30986,199999,199999,-,-
13/01/2021 22:47:39,30986,199999,199999,-,-
14/01/2021 00:53:41,30986,199998,199998,-,-
14/01/2021 01:06:31,30986,199998,199998,-,-
14/01/2021 02:54:21,30986,49999,49999,-,-
14/01/2021 03:06:10,30986,49999,49999,-,-
14/01/2021 07:57:55,30986,49999,49999,-,-
14/01/2021 08:09:43,30986,49999,49999,-,-
